Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Lucas Perri,GK,27-025,15,1350.0,0.0,0.0,1.0,0.0,0.0,0.0,Lyon,Ligue_1
Moussa Niakhate,DF,28-302,12,1080.0,0.0,0.0,0.0,0.0,0.1,0.2,Lyon,Ligue_1
Duje Ćaleta-Car,DF,28-109,13,1067.0,1.0,0.0,6.0,0.0,1.6,0.1,Lyon,Ligue_1
Ainsley Maitland-Niles,"DF,MF",27-128,15,1024.0,1.0,2.0,0.0,0.0,1.0,1.9,Lyon,Ligue_1
Clinton Mata,DF,32-058,12,997.0,0.0,3.0,2.0,0.0,0.1,1.1,Lyon,Ligue_1
Corentin Tolisso,MF,30-154,14,954.0,1.0,1.0,2.0,0.0,1.6,3.2,Lyon,Ligue_1
Alexandre Lacazette,FW,33-221,14,949.0,5.0,2.0,2.0,0.0,6.5,2.6,Lyon,Ligue_1
Nemanja Matić,MF,36-156,12,927.0,0.0,0.0,0.0,0.0,0.0,0.6,Lyon,Ligue_1
Jordan Veretout,MF,31-309,11,816.0,1.0,0.0,2.0,0.0,0.9,0.5,Lyon,Ligue_1
Malick Fofana,FW,19-279,15,814.0,3.0,2.0,1.0,0.0,2.7,1.3,Lyon,Ligue_1
Nicolás Tagliafico,DF,32-126,8,711.0,2.0,0.0,3.0,0.0,1.3,0.2,Lyon,Ligue_1
Abner,DF,24-222,10,654.0,1.0,0.0,1.0,0.0,0.2,0.4,Lyon,Ligue_1
Rayan Cherki,"FW,MF",21-140,11,629.0,3.0,3.0,2.0,0.0,1.6,3.6,Lyon,Ligue_1
Saïd Benrahma,"FW,MF",29-147,10,591.0,1.0,3.0,0.0,0.0,1.8,2.0,Lyon,Ligue_1
Maxence Caqueret,MF,24-324,9,573.0,0.0,0.0,1.0,0.0,0.7,0.4,Lyon,Ligue_1
Georges Mikautadze,FW,24-065,15,580.0,4.0,1.0,1.0,0.0,4.9,1.0,Lyon,Ligue_1
Ernest Nuamah,"FW,MF",21-064,10,346.0,0.0,0.0,1.0,0.0,0.9,0.3,Lyon,Ligue_1
Tanner Tessmann,MF,23-102,8,227.0,0.0,0.0,0.0,0.0,0.0,0.1,Lyon,Ligue_1
Gift Orban,"FW,DF",22-171,3,186.0,2.0,0.0,1.0,0.0,1.2,0.0,Lyon,Ligue_1
Sael Kumbedi,DF,19-284,3,177.0,0.0,0.0,0.0,0.0,0.0,0.1,Lyon,Ligue_1
Wilfried Zaha,FW,32-055,4,73.0,0.0,0.0,0.0,0.0,0.1,0.0,Lyon,Ligue_1
Orel Mangala,MF,26-292,1,67.0,0.0,0.0,0.0,0.0,0.1,0.0,Lyon,Ligue_1
Mama Samba Baldé,FW,29-059,2,33.0,0.0,0.0,0.0,0.0,0.1,0.0,Lyon,Ligue_1
Mahamadou Diawara,MF,19-322,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyon,Ligue_1
Warmed Omari,DF,24-256,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyon,Ligue_1
Adryelson,DF,26-287,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Lyon,Ligue_1
Rémy Descamps,GK,28-193,0,,,,,,,,Lyon,Ligue_1
Anthony Lopes,GK,34-095,0,,,,,,,,Lyon,Ligue_1
Enzo Molebe,FW,17-108,0,,,,,,,,Lyon,Ligue_1
