Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Arnaud Nordin,FW,26-201,14,1094.0,4.0,0.0,2.0,0.0,4.0,0.8,Montpellier,Ligue_1
Téji Savanier,MF,33-013,13,1109.0,1.0,3.0,3.0,1.0,2.3,3.8,Montpellier,Ligue_1
Modibo Sagnan,DF,25-265,14,1105.0,1.0,0.0,6.0,0.0,0.6,0.5,Montpellier,Ligue_1
Benjamin Lecomte,GK,33-253,12,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier,Ligue_1
Akor Adams,FW,24-341,13,922.0,3.0,1.0,2.0,0.0,4.1,1.0,Montpellier,Ligue_1
Falaye Sacko,DF,29-248,10,850.0,0.0,1.0,1.0,0.0,0.0,0.1,Montpellier,Ligue_1
Enzo Tchato,DF,22-042,15,973.0,0.0,0.0,3.0,0.0,0.0,0.3,Montpellier,Ligue_1
Jordan Ferri,MF,32-298,11,792.0,0.0,1.0,4.0,0.0,0.1,0.5,Montpellier,Ligue_1
Becir Omeragic,DF,22-350,10,750.0,0.0,0.0,1.0,0.0,0.1,0.0,Montpellier,Ligue_1
Issiaga Sylla,"DF,MF",31-003,11,687.0,1.0,0.0,1.0,0.0,0.7,0.2,Montpellier,Ligue_1
Joris Chotard,MF,23-102,9,675.0,1.0,0.0,3.0,0.0,0.4,0.3,Montpellier,Ligue_1
Rabby Nzingoula,MF,19-040,11,724.0,1.0,0.0,6.0,0.0,0.7,0.5,Montpellier,Ligue_1
Musa Al-Taamari,FW,27-208,10,669.0,0.0,1.0,2.0,0.0,1.1,0.7,Montpellier,Ligue_1
Wahbi Khazri,"FW,MF",33-331,14,646.0,1.0,1.0,2.0,0.0,1.2,1.2,Montpellier,Ligue_1
Nikola Maksimović,DF,33-040,6,517.0,0.0,0.0,1.0,0.0,0.0,0.0,Montpellier,Ligue_1
Tanguy Coulibaly,"FW,MF",23-321,10,437.0,1.0,0.0,2.0,2.0,0.6,0.4,Montpellier,Ligue_1
Dimitry Bertaud,GK,26-212,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier,Ligue_1
Khalil Fayad,"MF,FW",20-209,4,254.0,0.0,0.0,0.0,0.0,0.2,0.1,Montpellier,Ligue_1
Lucas Mincarelli,DF,20-365,4,251.0,0.0,0.0,0.0,0.0,0.0,0.2,Montpellier,Ligue_1
Birama Touré,"MF,DF",32-212,7,298.0,0.0,0.0,2.0,0.0,0.0,0.1,Montpellier,Ligue_1
Stefan Džodić,DF,19-295,3,172.0,0.0,0.0,2.0,1.0,0.0,0.0,Montpellier,Ligue_1
Boubakar Kouyaté,DF,27-264,2,111.0,0.0,0.0,1.0,0.0,0.2,0.0,Montpellier,Ligue_1
Yael Mouanga,DF,19-165,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier,Ligue_1
Yanis Issoufou,"FW,MF",18-068,3,73.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier,Ligue_1
Junior Ndiaye,"FW,MF",19-281,6,69.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier,Ligue_1
Othmane Maamma,"FW,MF",19-090,3,59.0,0.0,1.0,0.0,0.0,0.0,0.2,Montpellier,Ligue_1
Gabriel Bares,"MF,DF",24-128,6,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier,Ligue_1
Axel Gueguin,FW,19-286,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier,Ligue_1
Théo Sainte-Luce,MF,26-076,1,17.0,1.0,0.0,0.0,0.0,0.8,0.0,Montpellier,Ligue_1
Théo Chennahi,"MF,DF",19-333,2,8.0,0.0,0.0,1.0,0.0,0.0,0.0,Montpellier,Ligue_1
Simon Cara,FW,19-218,0,,,,,,,,Montpellier,Ligue_1
Craig Mamilo,DF,18-184,0,,,,,,,,Montpellier,Ligue_1
Glenn Ngosso,FW,20-358,0,,,,,,,,Montpellier,Ligue_1
