Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Moses Simon,FW,29-175,14,1180.0,4.0,5.0,1.0,0.0,2.9,2.8,Nantes,Ligue_1
Pedro Chirivella,MF,27-225,15,1179.0,0.0,1.0,2.0,0.0,0.2,0.6,Nantes,Ligue_1
Matthis Abline,FW,21-281,15,1137.0,3.0,0.0,1.0,0.0,3.1,1.4,Nantes,Ligue_1
Jean-Charles Castelletto,DF,29-343,13,1152.0,0.0,0.0,3.0,0.0,0.2,0.0,Nantes,Ligue_1
Douglas,MF,27-356,13,1116.0,2.0,2.0,4.0,0.0,2.0,0.9,Nantes,Ligue_1
Alban Lafont,GK,25-346,12,1080.0,0.0,0.0,1.0,0.0,0.0,0.0,Nantes,Ligue_1
Nicolas Cozza,"DF,MF",25-361,12,931.0,1.0,0.0,1.0,0.0,1.0,0.5,Nantes,Ligue_1
Nathan Zeze,DF,19-199,10,884.0,0.0,0.0,3.0,0.0,0.1,0.0,Nantes,Ligue_1
Johann Lepenant,MF,22-073,12,876.0,2.0,1.0,1.0,0.0,0.7,0.8,Nantes,Ligue_1
Kelvin Amian,"DF,MF",26-330,12,887.0,0.0,0.0,1.0,0.0,0.1,0.4,Nantes,Ligue_1
Nicolas Pallois,DF,37-106,10,811.0,0.0,1.0,4.0,0.0,0.0,0.1,Nantes,Ligue_1
Sorba Thomas,FW,25-134,13,652.0,1.0,0.0,0.0,0.0,1.2,1.4,Nantes,Ligue_1
Jean-Kevin Duverne,DF,27-175,9,537.0,0.0,0.0,2.0,0.0,0.3,0.1,Nantes,Ligue_1
Tino Kadewere,"MF,FW",28-364,8,475.0,1.0,2.0,1.0,0.0,1.6,1.0,Nantes,Ligue_1
Marcus Coco,DF,28-193,8,442.0,0.0,1.0,2.0,1.0,0.0,0.5,Nantes,Ligue_1
Mostafa Mohamed,FW,27-036,13,482.0,1.0,0.0,1.0,0.0,1.7,0.1,Nantes,Ligue_1
Patrik Carlgren,GK,32-361,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Nantes,Ligue_1
Jean-Philippe Gbamin,MF,29-100,9,186.0,0.0,0.0,1.0,0.0,0.1,0.0,Nantes,Ligue_1
Florent Mollet,"MF,FW",33-045,7,165.0,0.0,0.0,0.0,0.0,0.3,0.3,Nantes,Ligue_1
Fabien Centonze,DF,28-353,2,78.0,0.0,0.0,0.0,0.0,0.0,0.2,Nantes,Ligue_1
Ignatius Ganago,"FW,MF",25-322,10,159.0,0.0,0.0,1.0,0.0,0.4,0.2,Nantes,Ligue_1
Bahereba Guirassy,"FW,MF",18-127,8,112.0,2.0,0.0,0.0,0.0,0.5,0.1,Nantes,Ligue_1
Dehmaine Assoumani,"MF,FW",19-261,6,40.0,0.0,0.0,0.0,0.0,0.1,0.3,Nantes,Ligue_1
Louis Leroux,"MF,FW",18-346,2,18.0,0.0,0.0,0.0,0.0,0.0,0.1,Nantes,Ligue_1
Mathieu Acapandié,DF,20-020,0,,,,,,,,Nantes,Ligue_1
Hugo Barbet,GK,23-042,0,,,,,,,,Nantes,Ligue_1
Sékou Doucoure,DF,19-252,0,,,,,,,,Nantes,Ligue_1
