Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Marcin Bułka,GK,25-092,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.2,Nice,Ligue_1
Evann Guessand,"FW,MF",23-187,15,1293.0,6.0,3.0,1.0,0.0,5.6,2.3,Nice,Ligue_1
Pablo Rosario,"MF,DF",27-363,15,1148.0,1.0,1.0,2.0,0.0,1.8,0.3,Nice,Ligue_1
Moïse Bombito,DF,24-280,13,1144.0,0.0,0.0,2.0,1.0,0.6,0.0,Nice,Ligue_1
Hicham Boudaoui,MF,25-103,11,981.0,1.0,1.0,4.0,0.0,0.9,0.5,Nice,Ligue_1
Mohamed Ali Cho,"FW,MF",20-351,11,768.0,2.0,1.0,1.0,0.0,1.7,2.2,Nice,Ligue_1
Jonathan Clauss,"DF,MF",32-101,11,854.0,1.0,3.0,3.0,0.0,0.7,2.8,Nice,Ligue_1
Tanguy Ndombele,MF,28-007,12,851.0,1.0,1.0,1.0,0.0,1.6,1.9,Nice,Ligue_1
Dante,DF,41-078,9,743.0,0.0,0.0,5.0,0.0,0.2,0.0,Nice,Ligue_1
Jeremie Boga,"MF,FW",28-001,10,621.0,0.0,1.0,0.0,0.0,1.3,1.5,Nice,Ligue_1
Melvin Bard,"DF,MF",24-059,8,586.0,1.0,0.0,2.0,0.0,0.7,0.4,Nice,Ligue_1
Youssouf Ndayishimiye,"DF,MF",26-069,8,582.0,1.0,0.0,0.0,0.0,0.3,0.1,Nice,Ligue_1
Ali Abdi,"DF,MF",31-015,8,581.0,1.0,2.0,1.0,0.0,0.9,1.2,Nice,Ligue_1
Mohamed Abdelmoneim,DF,25-338,7,518.0,0.0,0.0,2.0,0.0,0.0,0.0,Nice,Ligue_1
Tom Louchet,"DF,MF",21-245,10,481.0,1.0,0.0,1.0,0.0,0.1,0.7,Nice,Ligue_1
Badredine Bouanani,"MF,FW",20-027,13,498.0,2.0,0.0,2.0,0.0,1.2,0.7,Nice,Ligue_1
Sofiane Diop,"MF,FW",24-209,12,473.0,3.0,2.0,1.0,0.0,3.5,0.9,Nice,Ligue_1
Antoine Mendy,DF,20-222,8,402.0,0.0,0.0,1.0,0.0,0.4,0.0,Nice,Ligue_1
Gaëtan Laborde,FW,30-246,9,389.0,3.0,2.0,0.0,0.0,2.8,0.2,Nice,Ligue_1
Youssoufa Moukoko,"FW,MF",20-045,7,181.0,2.0,1.0,0.0,0.0,2.2,0.8,Nice,Ligue_1
Yael Nandjou,DF,19-182,3,154.0,0.0,0.0,0.0,0.0,0.2,0.7,Nice,Ligue_1
Bilal Brahimi,MF,24-296,2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,Nice,Ligue_1
Amidou Doumbouya,DF,17-152,2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,Nice,Ligue_1
Victor Orakpo,FW,18-204,4,36.0,0.0,0.0,0.0,0.0,0.3,0.0,Nice,Ligue_1
Jordan Lotomba,"MF,DF",26-097,2,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Nice,Ligue_1
Issiaga Camara,MF,19-337,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Nice,Ligue_1
Rareş Ilie,MF,21-260,2,13.0,0.0,0.0,0.0,0.0,0.0,0.4,Nice,Ligue_1
Laurenzo Alvarenga,MF,20-221,0,,,,,,,,Nice,Ligue_1
Teddy Boulhendi,GK,23-270,0,,,,,,,,Nice,Ligue_1
Maxime Dupé,GK,31-306,0,,,,,,,,Nice,Ligue_1
Bernard Nguene,FW,18-153,0,,,,,,,,Nice,Ligue_1
Everton Pereira,MF,17-267,0,,,,,,,,Nice,Ligue_1
Iliesse Salhi,MF,17-161,0,,,,,,,,Nice,Ligue_1
Daouda Traoré,MF,18-166,0,,,,,,,,Nice,Ligue_1
