Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Achraf Hakimi,DF,26-061,14,1208.0,2.0,5.0,2.0,0.0,2.0,4.7,Paris Saint Germain,Ligue_1
Bradley Barcola,FW,22-124,16,1051.0,10.0,2.0,0.0,0.0,8.2,4.4,Paris Saint Germain,Ligue_1
Willian Pacho,DF,23-080,14,1198.0,0.0,1.0,2.0,0.0,0.1,0.1,Paris Saint Germain,Ligue_1
Warren Zaïre-Emery,"MF,DF",18-302,15,1138.0,1.0,1.0,2.0,0.0,0.8,0.7,Paris Saint Germain,Ligue_1
João Neves,MF,20-099,15,1087.0,2.0,6.0,0.0,0.0,1.9,3.1,Paris Saint Germain,Ligue_1
Gianluigi Donnarumma,GK,25-314,12,1011.0,0.0,0.0,2.0,0.0,0.0,0.0,Paris Saint Germain,Ligue_1
Vitinha,MF,24-326,13,1034.0,3.0,0.0,0.0,0.0,2.5,1.4,Paris Saint Germain,Ligue_1
Marquinhos,DF,30-235,13,1016.0,0.0,0.0,3.0,0.0,0.4,0.2,Paris Saint Germain,Ligue_1
Ousmane Dembélé,FW,27-234,15,899.0,8.0,4.0,1.0,0.0,5.6,5.7,Paris Saint Germain,Ligue_1
Lee Kang-in,"FW,MF",23-320,16,909.0,6.0,2.0,1.0,0.0,2.7,3.0,Paris Saint Germain,Ligue_1
Lucas Beraldo,DF,21-041,10,815.0,1.0,0.0,4.0,0.0,0.4,0.2,Paris Saint Germain,Ligue_1
Fabián Ruiz Peña,MF,28-276,15,794.0,1.0,1.0,0.0,0.0,1.8,1.6,Paris Saint Germain,Ligue_1
Nuno Mendes,DF,22-199,9,632.0,0.0,1.0,1.0,0.0,0.8,0.9,Paris Saint Germain,Ligue_1
Marco Asensio,"FW,MF",28-349,11,610.0,2.0,4.0,0.0,0.0,5.5,2.7,Paris Saint Germain,Ligue_1
Désiré Doué,FW,19-215,13,588.0,1.0,2.0,0.0,0.0,1.6,2.4,Paris Saint Germain,Ligue_1
Matvei Safonov,GK,25-314,5,429.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris Saint Germain,Ligue_1
Milan Škriniar,DF,29-328,5,382.0,0.0,0.0,1.0,0.0,0.2,0.1,Paris Saint Germain,Ligue_1
Gonçalo Ramos,FW,23-198,5,189.0,2.0,2.0,0.0,0.0,1.7,1.2,Paris Saint Germain,Ligue_1
Randal Kolo Muani,FW,26-030,10,358.0,2.0,1.0,0.0,0.0,4.7,0.9,Paris Saint Germain,Ligue_1
Senny Mayulu,"MF,DF",18-232,7,192.0,1.0,0.0,0.0,0.0,1.5,0.7,Paris Saint Germain,Ligue_1
Yoram Zague,DF,18-234,3,160.0,0.0,0.0,0.0,0.0,0.1,0.0,Paris Saint Germain,Ligue_1
Ibrahim Mbaye,"FW,MF",16-346,5,87.0,0.0,0.0,0.0,0.0,0.3,0.0,Paris Saint Germain,Ligue_1
Lucas Hernández,DF,28-325,2,53.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris Saint Germain,Ligue_1
Naoufel El Hannach,DF,18-028,0,,,,,,,,Paris Saint Germain,Ligue_1
Carlos Soler,MF,28-002,0,,,,,,,,Paris Saint Germain,Ligue_1
Axel Tapé,MF,17-147,0,,,,,,,,Paris Saint Germain,Ligue_1
Arnau Tenas,GK,23-219,0,,,,,,,,Paris Saint Germain,Ligue_1
