Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Yehvann Diouf,GK,25-049,15,1350.0,0.0,0.0,1.0,0.0,0.0,0.0,Reims,Ligue_1
Junya Ito,FW,31-301,15,1310.0,3.0,3.0,0.0,0.0,2.6,4.3,Reims,Ligue_1
Valentin Atangana Edoa,MF,19-132,15,1237.0,0.0,0.0,4.0,0.0,0.2,0.3,Reims,Ligue_1
Emmanuel Agbadou,DF,27-201,14,1260.0,0.0,0.0,3.0,0.0,0.5,0.3,Reims,Ligue_1
Marshall Munetsi,MF,28-196,14,1242.0,3.0,0.0,3.0,0.0,3.4,1.6,Reims,Ligue_1
Keito Nakamura,FW,24-160,15,1162.0,6.0,1.0,2.0,0.0,4.1,1.2,Reims,Ligue_1
Oumar Diakité,FW,21-015,14,1061.0,4.0,1.0,4.0,0.0,4.3,1.0,Reims,Ligue_1
Sergio Akieme,DF,27-019,12,1069.0,1.0,1.0,1.0,0.0,0.4,0.8,Reims,Ligue_1
Aurélio Buta,DF,27-329,12,895.0,0.0,1.0,3.0,0.0,0.1,0.3,Reims,Ligue_1
Cédric Kipré,DF,28-026,12,882.0,0.0,1.0,2.0,0.0,0.3,0.6,Reims,Ligue_1
Yaya Kader Fofana,"MF,FW",20-206,12,634.0,1.0,1.0,4.0,0.0,0.6,1.7,Reims,Ligue_1
Joseph Okumu,DF,27-223,7,566.0,1.0,0.0,2.0,0.0,0.4,0.0,Reims,Ligue_1
Amadou Koné,MF,19-235,10,464.0,0.0,0.0,1.0,1.0,0.1,0.0,Reims,Ligue_1
Nhoa Sangui,DF,18-312,12,579.0,0.0,1.0,1.0,0.0,0.1,0.3,Reims,Ligue_1
Teddy Teuma,MF,31-096,9,290.0,1.0,0.0,1.0,0.0,1.2,0.4,Reims,Ligue_1
Amine Salama,FW,24-170,13,241.0,0.0,0.0,0.0,0.0,0.4,0.2,Reims,Ligue_1
Abdoul Koné,DF,19-257,2,111.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims,Ligue_1
Thibault De Smet,DF,26-213,3,98.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims,Ligue_1
Mamadou Diakhon,"FW,MF",19-104,11,152.0,0.0,0.0,1.0,0.0,0.2,0.1,Reims,Ligue_1
Reda Khadra,"MF,FW",23-184,4,78.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims,Ligue_1
Gabriel Moscardo,MF,19-098,3,32.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims,Ligue_1
Martin Adeline,MF,21-033,1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims,Ligue_1
Niama Sissoko,FW,19-019,2,18.0,0.0,0.0,0.0,0.0,0.2,0.0,Reims,Ligue_1
Mohammed Daramy,FW,22-363,2,16.0,0.0,0.0,0.0,0.0,0.0,0.1,Reims,Ligue_1
Mohamed Bamba,MF,20-088,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Reims,Ligue_1
Mohamed Ali Diadie,FW,20-074,0,,,,,,,,Reims,Ligue_1
Adama Bojang,FW,20-221,0,,,,,,,,Reims,Ligue_1
Maxime Busi,DF,25-082,0,,,,,,,,Reims,Ligue_1
Ludovic Butelle,GK,41-276,0,,,,,,,,Reims,Ligue_1
Kobi Henry,DF,20-253,0,,,,,,,,Reims,Ligue_1
Alexandre Olliero,GK,28-324,0,,,,,,,,Reims,Ligue_1
