Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Steve Mandanda,GK,39-282,15,1305.0,0.0,0.0,0.0,0.0,0.0,0.1,Rennes,Ligue_1
Ludovic Blas,"MF,FW",27-004,15,1212.0,4.0,5.0,2.0,0.0,3.1,2.3,Rennes,Ligue_1
Azor Matusiwa,MF,26-251,14,1102.0,0.0,0.0,1.0,0.0,0.2,0.6,Rennes,Ligue_1
Arnaud Kalimuendo,FW,22-350,14,1086.0,6.0,0.0,2.0,0.0,4.8,0.5,Rennes,Ligue_1
Adrien Truffert,"DF,MF",23-045,14,1045.0,0.0,0.0,3.0,0.0,0.4,0.2,Rennes,Ligue_1
Hans Hateboer,DF,30-361,15,929.0,0.0,0.0,1.0,0.0,0.4,1.4,Rennes,Ligue_1
Leo Skiri Østigård,DF,25-037,12,893.0,1.0,0.0,4.0,0.0,0.6,0.0,Rennes,Ligue_1
Christopher Wooh,DF,23-108,12,879.0,0.0,0.0,2.0,0.0,0.5,0.0,Rennes,Ligue_1
Lorenz Assignon,"DF,MF",24-196,14,855.0,1.0,1.0,4.0,0.0,0.3,0.5,Rennes,Ligue_1
Amine Gouiri,"MF,FW",24-323,15,854.0,2.0,1.0,1.0,0.0,3.0,0.2,Rennes,Ligue_1
Alidu Seidu,DF,24-214,11,803.0,0.0,0.0,4.0,0.0,0.1,0.3,Rennes,Ligue_1
Albert Grønbaek,"MF,FW",23-226,14,746.0,2.0,1.0,1.0,0.0,1.4,1.0,Rennes,Ligue_1
Glen Kamara,MF,29-068,13,662.0,0.0,1.0,0.0,0.0,0.2,0.2,Rennes,Ligue_1
Mikayil Ngor Faye,DF,20-174,8,510.0,0.0,0.0,1.0,1.0,0.3,0.0,Rennes,Ligue_1
Baptiste Santamaria,MF,29-301,10,482.0,0.0,1.0,1.0,0.0,0.1,0.3,Rennes,Ligue_1
Jota,"FW,MF",25-280,9,334.0,1.0,0.0,0.0,0.0,1.3,0.3,Rennes,Ligue_1
Mahamadou Nagida,DF,19-190,8,324.0,0.0,0.0,1.0,0.0,0.1,0.3,Rennes,Ligue_1
Jordan James,MF,20-186,7,310.0,0.0,0.0,2.0,0.0,0.3,0.4,Rennes,Ligue_1
Carlos Gómez,"MF,FW",22-114,9,274.0,1.0,0.0,0.0,0.0,0.1,0.2,Rennes,Ligue_1
Benjamin Bourigeaud,MF,30-356,1,80.0,1.0,0.0,0.0,0.0,0.2,0.0,Rennes,Ligue_1
Henrik Meister,FW,21-048,4,63.0,1.0,0.0,0.0,0.0,0.1,0.3,Rennes,Ligue_1
Gauthier Gallon,GK,31-256,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Rennes,Ligue_1
Mohamed Meité,FW,17-085,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Rennes,Ligue_1
Naouirou Ahamada,MF,22-281,0,,,,,,,,Rennes,Ligue_1
Djaoui Cissé,MF,20-339,0,,,,,,,,Rennes,Ligue_1
Alan Do Marcolino,FW,22-291,0,,,,,,,,Rennes,Ligue_1
Warmed Omari,DF,24-256,0,,,,,,,,Rennes,Ligue_1
