Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Dilane Bakwa,"FW,MF",22-130,15,1306.0,2.0,5.0,0.0,0.0,2.6,3.7,Strasbourg,Ligue_1
Guela Doué,DF,22-078,14,1260.0,1.0,0.0,4.0,0.0,0.7,0.1,Strasbourg,Ligue_1
Andrey Santos,MF,20-245,14,1235.0,6.0,0.0,2.0,0.0,3.3,1.3,Strasbourg,Ligue_1
Habib Diarra,"MF,FW",21-000,14,1190.0,3.0,1.0,3.0,0.0,1.8,1.6,Strasbourg,Ligue_1
Diego Moreira,"DF,MF",20-150,15,1184.0,1.0,3.0,3.0,0.0,0.9,2.3,Strasbourg,Ligue_1
Sebastian Nanasi,"FW,MF",22-232,14,1076.0,4.0,3.0,0.0,0.0,3.6,2.0,Strasbourg,Ligue_1
Ismaël Doukouré,"MF,DF",21-163,13,1059.0,0.0,1.0,4.0,0.0,0.1,0.7,Strasbourg,Ligue_1
Đorđe Petrović,GK,25-087,12,1080.0,0.0,0.0,1.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Saidou Sow,DF,22-183,12,1018.0,0.0,1.0,2.0,0.0,0.3,0.2,Strasbourg,Ligue_1
Emanuel Emegha,FW,21-335,10,780.0,3.0,1.0,1.0,0.0,4.3,1.2,Strasbourg,Ligue_1
Mamadou Sarr,DF,19-127,9,767.0,0.0,1.0,1.0,0.0,0.2,0.2,Strasbourg,Ligue_1
Abakar Sylla,DF,22-009,11,650.0,1.0,0.0,2.0,0.0,0.4,0.0,Strasbourg,Ligue_1
Sekou Mara,"FW,MF",22-157,14,583.0,1.0,1.0,2.0,0.0,1.0,1.0,Strasbourg,Ligue_1
Félix Lemaréchal,"MF,FW",21-149,8,278.0,0.0,1.0,0.0,0.0,0.0,0.3,Strasbourg,Ligue_1
Karl-Johan Johnsson,GK,34-341,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Caleb Wiley,"DF,MF",20-012,6,266.0,0.0,1.0,1.0,0.0,0.0,0.7,Strasbourg,Ligue_1
Junior Mwanga,MF,21-237,8,296.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Marvin Senaya,DF,23-341,7,194.0,0.0,0.0,3.0,0.0,0.0,0.1,Strasbourg,Ligue_1
Jérémy Sebas,"FW,MF",21-264,9,152.0,0.0,0.0,0.0,0.0,0.5,0.0,Strasbourg,Ligue_1
Pape Daouda Diongue,"MF,FW",,5,71.0,1.0,0.0,0.0,0.0,1.0,0.2,Strasbourg,Ligue_1
Guimissongui Ouattara,"FW,MF",19-073,5,69.0,1.0,0.0,0.0,0.0,0.1,0.1,Strasbourg,Ligue_1
Eduard Sobol,DF,29-258,2,32.0,0.0,0.0,1.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Milos Lukovic,"FW,MF",19-046,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Nordine Kandil,MF,23-064,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Óscar Perea,MF,19-098,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Karol Fila,MF,26-204,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,Strasbourg,Ligue_1
Amadou Cissé,FW,18-311,0,,,,,,,,Strasbourg,Ligue_1
Tidiane Diallo,FW,18-220,0,,,,,,,,Strasbourg,Ligue_1
Yoni Gomis,DF,19-102,0,,,,,,,,Strasbourg,Ligue_1
Rayane Messi Tanfouri,FW,17-225,0,,,,,,,,Strasbourg,Ligue_1
Rabby Nzingoula,MF,19-039,0,,,,,,,,Strasbourg,Ligue_1
Robin Risser,GK,20-032,0,,,,,,,,Strasbourg,Ligue_1
Ryan Tutu Mayangila,GK,19-277,0,,,,,,,,Strasbourg,Ligue_1
