Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Guillaume Restes,GK,19-298,15,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse,Ligue_1
Vincent Sierro,MF,29-087,15,1235.0,1.0,1.0,2.0,0.0,1.2,2.5,Toulouse,Ligue_1
Yann Gboho,"MF,FW",23-355,15,1197.0,2.0,2.0,0.0,0.0,2.3,2.1,Toulouse,Ligue_1
Zakaria Aboukhlal,"MF,FW",24-320,15,1181.0,5.0,2.0,3.0,0.0,7.5,1.3,Toulouse,Ligue_1
Mark McKenzie,DF,25-313,13,1144.0,0.0,0.0,1.0,0.0,0.0,0.0,Toulouse,Ligue_1
Cristian Cásseres Jr.,MF,24-349,14,1104.0,0.0,1.0,7.0,0.0,0.4,0.6,Toulouse,Ligue_1
Aron Dønnum,"DF,MF",26-258,14,1082.0,0.0,0.0,4.0,0.0,0.8,0.6,Toulouse,Ligue_1
Charlie Cresswell,DF,22-139,14,1063.0,0.0,0.0,0.0,0.0,1.4,1.0,Toulouse,Ligue_1
Djibril Sidibé,DF,32-158,14,998.0,0.0,2.0,1.0,0.0,0.3,2.0,Toulouse,Ligue_1
Joshua King,"FW,MF",32-354,13,823.0,4.0,1.0,2.0,0.0,3.4,1.4,Toulouse,Ligue_1
Gabriel Suazo,DF,27-147,13,739.0,0.0,3.0,0.0,0.0,0.1,0.9,Toulouse,Ligue_1
Waren Kamanzi,"DF,MF",24-053,14,682.0,0.0,0.0,1.0,0.0,0.3,0.3,Toulouse,Ligue_1
Rasmus Nicolaisen,DF,27-293,7,623.0,0.0,1.0,0.0,0.0,0.4,0.2,Toulouse,Ligue_1
Shavy Babicka,"MF,FW",24-216,14,504.0,4.0,0.0,1.0,0.0,2.5,0.8,Toulouse,Ligue_1
Frank Magri,"FW,MF",25-121,13,354.0,0.0,0.0,1.0,1.0,0.9,0.2,Toulouse,Ligue_1
Ümit Akdag,DF,21-089,3,228.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse,Ligue_1
Niklas Schmidt,MF,26-308,9,205.0,0.0,1.0,0.0,0.0,0.1,0.7,Toulouse,Ligue_1
Miha Zajc,MF,30-186,8,138.0,0.0,0.0,1.0,0.0,0.1,0.1,Toulouse,Ligue_1
Logan Costa,DF,23-277,1,90.0,0.0,0.0,0.0,0.0,0.0,0.5,Toulouse,Ligue_1
Denis Genreau,"MF,FW",25-227,4,33.0,0.0,0.0,0.0,0.0,0.1,0.4,Toulouse,Ligue_1
Álex Domínguez,GK,26-157,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse,Ligue_1
Jaydee Canvot,DF,18-158,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse,Ligue_1
Naatan Skyttä,FW,22-241,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse,Ligue_1
Rafik Messali,MF,21-250,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Toulouse,Ligue_1
Mamady Bangré,MF,23-202,0,,,,,,,,Toulouse,Ligue_1
Noah Edjouma,FW,19-091,0,,,,,,,,Toulouse,Ligue_1
Dayann Methalie,DF,18-323,0,,,,,,,,Toulouse,Ligue_1
Mathis Saka,FW,18-105,0,,,,,,,,Toulouse,Ligue_1
