Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
David Raya,GK,29-110,19,1710.0,0.0,0.0,2.0,0.0,0.0,0.0,Arsenal,Premier_League
William Saliba,DF,23-285,18,1559.0,2.0,0.0,2.0,1.0,1.9,0.5,Arsenal,Premier_League
Kai Havertz,"FW,MF",25-206,17,1480.0,7.0,2.0,3.0,0.0,7.8,2.3,Arsenal,Premier_League
Gabriel Magalhães,DF,27-015,17,1448.0,3.0,1.0,2.0,0.0,2.3,0.7,Arsenal,Premier_League
Jurriën Timber,DF,23-200,17,1395.0,1.0,1.0,5.0,0.0,0.7,0.7,Arsenal,Premier_League
Bukayo Saka,"FW,MF",23-120,16,1268.0,5.0,10.0,3.0,0.0,4.2,5.8,Arsenal,Premier_League
Thomas Partey,"MF,DF",31-204,18,1403.0,2.0,2.0,2.0,0.0,1.3,1.3,Arsenal,Premier_League
Declan Rice,MF,25-355,17,1295.0,1.0,3.0,5.0,1.0,1.2,3.7,Arsenal,Premier_League
Gabriel Martinelli,"FW,MF",23-199,17,1126.0,5.0,2.0,1.0,0.0,3.4,2.6,Arsenal,Premier_League
Martin Ødegaard,MF,26-017,12,993.0,1.0,2.0,1.0,0.0,2.5,1.9,Arsenal,Premier_League
Leandro Trossard,FW,30-030,19,1020.0,3.0,2.0,2.0,1.0,3.1,3.2,Arsenal,Premier_League
Ben White,DF,27-087,9,695.0,0.0,1.0,2.0,0.0,0.1,0.4,Arsenal,Premier_League
Riccardo Calafiori,DF,22-229,10,617.0,1.0,1.0,2.0,0.0,0.6,0.2,Arsenal,Premier_League
Mikel Merino,MF,28-195,12,576.0,2.0,0.0,1.0,0.0,1.9,0.8,Arsenal,Premier_League
Gabriel Jesus,FW,27-275,16,518.0,3.0,0.0,4.0,0.0,2.5,0.6,Arsenal,Premier_League
Jorginho,MF,33-014,9,396.0,0.0,0.0,3.0,0.0,0.0,0.2,Arsenal,Premier_League
Myles Lewis-Skelly,DF,18-099,6,244.0,0.0,0.0,1.0,0.0,0.0,0.1,Arsenal,Premier_League
Jakub Kiwior,DF,24-323,8,327.0,0.0,0.0,0.0,0.0,0.0,0.1,Arsenal,Premier_League
Oleksandr Zinchenko,"DF,MF",28-019,7,239.0,0.0,0.0,1.0,0.0,0.1,0.0,Arsenal,Premier_League
Raheem Sterling,"MF,FW",30-026,6,148.0,0.0,1.0,0.0,0.0,0.5,0.2,Arsenal,Premier_League
Ethan Nwaneri,"MF,FW",17-288,11,194.0,1.0,0.0,0.0,0.0,0.2,0.2,Arsenal,Premier_League
Takehiro Tomiyasu,DF,26-059,1,7.0,0.0,0.0,0.0,0.0,0.2,0.0,Arsenal,Premier_League
Reiss Nelson,FW,25-024,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Premier_League
Nathan Butler-Oyedeji,FW,21-365,0,,,,,,,,Arsenal,Premier_League
Ayden Heaven,DF,18-103,0,,,,,,,,Arsenal,Premier_League
Ismeal Kabia,MF,19-024,0,,,,,,,,Arsenal,Premier_League
Maldini Kacurri,DF,19-091,0,,,,,,,,Arsenal,Premier_League
Neto,GK,35-168,0,,,,,,,,Arsenal,Premier_League
Josh Nichols,DF,18-161,0,,,,,,,,Arsenal,Premier_League
Eddie Nketiah,FW,25-218,0,,,,,,,,Arsenal,Premier_League
Salah Oulad M'Hand,MF,21-136,0,,,,,,,,Arsenal,Premier_League
Aaron Ramsdale,GK,26-234,0,,,,,,,,Arsenal,Premier_League
Tommy Setford,GK,18-296,0,,,,,,,,Arsenal,Premier_League
Kieran Tierney,"DF,MF",27-212,0,,,,,,,,Arsenal,Premier_League
