Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Illia Zabarnyi,DF,22-124,19,1710.0,0.0,0.0,2.0,0.0,0.6,0.5,Bournemouth,Premier_League
Milos Kerkez,DF,21-057,19,1637.0,1.0,2.0,2.0,0.0,0.4,2.6,Bournemouth,Premier_League
Antoine Semenyo,FW,24-362,18,1566.0,5.0,2.0,5.0,0.0,5.9,3.1,Bournemouth,Premier_League
Lewis Cook,"MF,DF",27-335,18,1492.0,1.0,3.0,4.0,0.0,0.6,2.9,Bournemouth,Premier_League
Ryan Christie,MF,29-316,18,1314.0,1.0,1.0,6.0,0.0,0.9,1.8,Bournemouth,Premier_League
Evanilson,FW,25-089,18,1289.0,5.0,0.0,0.0,0.0,6.4,1.1,Bournemouth,Premier_League
Justin Kluivert,"MF,FW",25-243,18,1127.0,6.0,2.0,5.0,0.0,6.2,2.5,Bournemouth,Premier_League
Kepa Arrizabalaga,GK,30-092,14,1260.0,0.0,0.0,2.0,0.0,0.0,0.0,Bournemouth,Premier_League
Marcus Tavernier,"FW,MF",25-287,15,1140.0,1.0,4.0,2.0,0.0,4.1,2.6,Bournemouth,Premier_League
Adam Smith,DF,33-249,17,1035.0,0.0,0.0,4.0,0.0,0.6,0.1,Bournemouth,Premier_League
Marcos Senesi,DF,27-238,11,917.0,0.0,0.0,4.0,0.0,0.8,0.4,Bournemouth,Premier_League
Dean Huijsen,DF,19-264,13,794.0,2.0,0.0,3.0,0.0,1.3,0.5,Bournemouth,Premier_League
Dango Ouattara,"FW,DF",22-327,16,814.0,3.0,3.0,0.0,0.0,3.9,3.8,Bournemouth,Premier_League
Tyler Adams,MF,25-324,9,485.0,0.0,0.0,2.0,0.0,1.1,0.4,Bournemouth,Premier_League
Julian Araujo,DF,23-143,8,355.0,0.0,0.0,1.0,0.0,0.0,0.0,Bournemouth,Premier_League
Mark Travers,GK,25-230,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,Premier_League
Enes Ünal,"FW,MF",27-238,16,324.0,2.0,1.0,2.0,0.0,2.7,0.4,Bournemouth,Premier_League
Alex Scott,MF,21-135,8,263.0,0.0,0.0,0.0,0.0,0.1,0.2,Bournemouth,Premier_League
David Brooks,"FW,MF",27-179,12,244.0,1.0,0.0,1.0,0.0,1.0,0.7,Bournemouth,Premier_League
Neto,GK,35-168,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,Premier_League
Luis Sinisterra,"FW,MF",25-200,8,208.0,1.0,1.0,0.0,0.0,1.1,1.0,Bournemouth,Premier_League
Philip Billing,MF,28-206,9,175.0,0.0,0.0,1.0,0.0,0.6,1.0,Bournemouth,Premier_League
James Hill,"DF,MF",22-359,3,88.0,0.0,1.0,0.0,0.0,0.0,0.2,Bournemouth,Premier_League
Max Aarons,DF,24-365,3,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,Premier_League
Daniel Jebbison,FW,21-143,2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,Premier_League
Ben Winterburn,MF,20-121,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,Premier_League
Jaidon Anthony,"FW,MF",25-033,0,,,,,,,,Bournemouth,Premier_League
Will Dennis,GK,24-177,0,,,,,,,,Bournemouth,Premier_League
Archie Harris,DF,20-007,0,,,,,,,,Bournemouth,Premier_League
Hamed Junior Traorè,"FW,MF",24-322,0,,,,,,,,Bournemouth,Premier_League
Remy Rees-Dottin,FW,18-303,0,,,,,,,,Bournemouth,Premier_League
Maxwell Wellings,DF,19-336,0,,,,,,,,Bournemouth,Premier_League
