Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Dean Henderson,GK,27-298,19,1710.0,0.0,0.0,2.0,0.0,0.0,0.0,Crystal Palace,Premier_League
Tyrick Mitchell,DF,25-125,19,1654.0,0.0,3.0,2.0,0.0,0.3,3.5,Crystal Palace,Premier_League
Marc Guéhi,DF,24-175,18,1620.0,2.0,1.0,5.0,0.0,1.3,0.5,Crystal Palace,Premier_League
Daniel Muñoz,DF,28-223,18,1533.0,2.0,1.0,5.0,0.0,3.3,1.9,Crystal Palace,Premier_League
Jean-Philippe Mateta,FW,27-190,19,1424.0,4.0,1.0,2.0,0.0,5.3,1.9,Crystal Palace,Premier_League
Maxence Lacroix,DF,24-273,16,1440.0,1.0,1.0,3.0,0.0,1.4,0.3,Crystal Palace,Premier_League
Eberechi Eze,"MF,FW",26-189,15,1250.0,2.0,2.0,1.0,0.0,4.0,2.3,Crystal Palace,Premier_League
Ismaila Sarr,"MF,FW",26-314,19,1184.0,4.0,2.0,3.0,0.0,3.8,3.6,Crystal Palace,Premier_League
Will Hughes,MF,29-262,17,1090.0,0.0,3.0,7.0,0.0,0.7,1.7,Crystal Palace,Premier_League
Trevoh Chalobah,DF,25-183,12,1060.0,3.0,0.0,1.0,0.0,1.2,0.4,Crystal Palace,Premier_League
Jefferson Lerma,MF,30-071,15,1004.0,0.0,0.0,4.0,0.0,0.6,0.9,Crystal Palace,Premier_League
Daichi Kamada,MF,28-152,15,725.0,0.0,0.0,2.0,1.0,0.6,1.0,Crystal Palace,Premier_League
Adam Wharton,MF,20-216,8,622.0,0.0,0.0,0.0,0.0,0.2,0.6,Crystal Palace,Premier_League
Eddie Nketiah,"MF,FW",25-219,13,580.0,0.0,1.0,3.0,0.0,1.4,1.3,Crystal Palace,Premier_League
Chris Richards,DF,24-282,8,535.0,0.0,0.0,1.0,0.0,0.1,0.0,Crystal Palace,Premier_League
Nathaniel Clyne,"DF,MF",33-274,8,382.0,0.0,0.0,1.0,0.0,0.0,0.1,Crystal Palace,Premier_League
Cheick Doucouré,MF,24-362,11,313.0,0.0,0.0,1.0,0.0,0.4,0.0,Crystal Palace,Premier_League
Justin Devenny,MF,21-085,8,232.0,1.0,0.0,0.0,0.0,0.5,0.3,Crystal Palace,Premier_League
Odsonne Édouard,"MF,FW",26-354,2,115.0,0.0,0.0,0.0,0.0,0.4,0.0,Crystal Palace,Premier_League
Joachim Andersen,DF,28-218,1,90.0,0.0,0.0,1.0,0.0,0.0,0.0,Crystal Palace,Premier_League
Chadi Riad,DF,21-201,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,Premier_League
Jeffrey Schlupp,"MF,DF",32-012,11,102.0,0.0,0.0,0.0,0.0,0.2,0.1,Crystal Palace,Premier_League
Jordan Ayew,"FW,MF",33-115,1,21.0,0.0,0.0,1.0,0.0,0.5,0.0,Crystal Palace,Premier_League
Caleb Kporha,DF,18-173,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,Premier_League
Asher Agbinone,MF,19-098,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,Premier_League
Naouirou Ahamada,MF,22-281,0,,,,,,,,Crystal Palace,Premier_League
Rob Holding,DF,29-106,0,,,,,,,,Crystal Palace,Premier_League
Sam Johnstone,GK,31-285,0,,,,,,,,Crystal Palace,Premier_League
Zachariah Marsh,FW,19-090,0,,,,,,,,Crystal Palace,Premier_League
Remi Matthews,GK,30-329,0,,,,,,,,Crystal Palace,Premier_League
Kaden Rodney,DF,20-089,0,,,,,,,,Crystal Palace,Premier_League
Matt Turner,GK,30-194,0,,,,,,,,Crystal Palace,Premier_League
Franco Umeh-Chibueze,MF,19-344,0,,,,,,,,Crystal Palace,Premier_League
Joel Ward,"DF,MF",35-067,0,,,,,,,,Crystal Palace,Premier_League
