Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
James Justin,DF,26-316,18,1553.0,2.0,1.0,2.0,0.0,1.1,0.3,Leicester City,Premier_League
Victor Bernth Kristiansen,DF,22-019,17,1487.0,0.0,1.0,1.0,0.0,0.0,1.0,Leicester City,Premier_League
Jamie Vardy,FW,37-359,17,1371.0,6.0,3.0,4.0,0.0,6.1,2.3,Leicester City,Premier_League
Mads Hermansen,GK,24-177,16,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City,Premier_League
Wilfred Ndidi,MF,28-019,15,1215.0,0.0,4.0,4.0,0.0,1.4,1.4,Leicester City,Premier_League
Wout Faes,DF,26-276,16,1256.0,1.0,0.0,2.0,0.0,0.9,0.0,Leicester City,Premier_League
Harry Winks,MF,28-337,14,1058.0,0.0,2.0,3.0,0.0,0.2,1.1,Leicester City,Premier_League
Facundo Buonanotte,"MF,FW",20-012,16,1039.0,4.0,2.0,5.0,0.0,3.2,2.7,Leicester City,Premier_League
Stephy Mavididi,FW,26-218,18,1025.0,2.0,1.0,2.0,0.0,1.1,1.7,Leicester City,Premier_League
Jannik Vestergaard,DF,32-154,11,870.0,0.0,0.0,4.0,0.0,0.0,0.0,Leicester City,Premier_League
Jordan Ayew,"FW,MF",33-115,16,831.0,4.0,0.0,4.0,0.0,2.4,0.2,Leicester City,Premier_League
Caleb Okoli,DF,23-175,12,791.0,0.0,0.0,2.0,0.0,0.1,0.0,Leicester City,Premier_League
Bilal El Khannouss,MF,20-239,14,720.0,1.0,1.0,1.0,0.0,0.3,1.6,Leicester City,Premier_League
Boubakary Soumaré,MF,25-312,12,745.0,0.0,0.0,7.0,0.0,0.1,0.1,Leicester City,Premier_League
Oliver Skipp,MF,24-110,12,708.0,0.0,0.0,4.0,0.0,0.1,0.2,Leicester City,Premier_League
Conor Coady,DF,31-314,8,631.0,0.0,0.0,1.0,0.0,0.0,0.1,Leicester City,Premier_League
Abdul Fatawu Issahaku,FW,20-302,11,579.0,0.0,2.0,0.0,0.0,0.4,1.6,Leicester City,Premier_League
Kasey McAteer,"FW,MF",23-043,9,334.0,0.0,1.0,0.0,0.0,0.6,0.1,Leicester City,Premier_League
Bobby Reid,"FW,MF",31-337,13,281.0,1.0,0.0,0.0,0.0,0.7,0.1,Leicester City,Premier_League
Jakub Stolarczyk,GK,24-016,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City,Premier_League
Ricardo Pereira,DF,31-090,2,146.0,0.0,0.0,1.0,0.0,0.0,0.0,Leicester City,Premier_League
Patson Daka,"FW,MF",26-087,7,208.0,1.0,0.0,0.0,0.0,0.2,0.0,Leicester City,Premier_League
Danny Ward,GK,31-196,2,135.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City,Premier_League
Hamza Choudhury,"MF,DF",27-095,4,132.0,0.0,0.0,0.0,0.0,0.0,0.4,Leicester City,Premier_League
Luke Thomas,DF,23-208,1,90.0,0.0,0.0,0.0,0.0,0.0,0.1,Leicester City,Premier_League
Odsonne Édouard,FW,26-354,4,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City,Premier_League
Will Alves,FW,19-336,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City,Premier_League
Thomas Cannon,FW,22-007,0,,,,,,,,Leicester City,Premier_League
Henry Cartwright,MF,20-024,0,,,,,,,,Leicester City,Premier_League
Daniel Iversen,GK,27-169,0,,,,,,,,Leicester City,Premier_League
Benjamin Nelson,DF,20-292,0,,,,,,,,Leicester City,Premier_League
Thomas Wilson-Brown,MF,20-091,0,,,,,,,,Leicester City,Premier_League
