Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Bruno Guimarães,MF,27-048,19,1654.0,1.0,4.0,3.0,0.0,2.0,3.5,Newcastle United,Premier_League
Dan Burn,DF,32-239,18,1620.0,0.0,0.0,5.0,0.0,0.7,0.2,Newcastle United,Premier_League
Joelinton,"MF,FW",28-142,18,1499.0,4.0,1.0,6.0,0.0,2.9,1.4,Newcastle United,Premier_League
Fabian Schär,DF,33-014,17,1467.0,2.0,0.0,5.0,1.0,1.3,0.2,Newcastle United,Premier_League
Anthony Gordon,FW,23-314,18,1435.0,4.0,4.0,1.0,0.0,5.6,4.0,Newcastle United,Premier_League
Alexander Isak,FW,25-104,17,1378.0,12.0,4.0,0.0,0.0,10.4,2.9,Newcastle United,Premier_League
Lewis Hall,DF,20-117,19,1498.0,0.0,2.0,3.0,0.0,0.3,3.3,Newcastle United,Premier_League
Nick Pope,GK,32-259,15,1350.0,0.0,0.0,2.0,0.0,0.0,0.0,Newcastle United,Premier_League
Valentino Livramento,DF,22-052,18,1230.0,0.0,0.0,0.0,0.0,0.0,0.5,Newcastle United,Premier_League
Jacob Murphy,FW,29-314,16,939.0,3.0,6.0,2.0,0.0,2.3,3.9,Newcastle United,Premier_League
Sandro Tonali,MF,24-240,17,1011.0,0.0,1.0,4.0,0.0,2.2,0.4,Newcastle United,Premier_League
Sean Longstaff,MF,27-065,16,715.0,0.0,0.0,2.0,0.0,0.6,0.2,Newcastle United,Premier_League
Harvey Barnes,FW,27-025,19,769.0,5.0,1.0,0.0,0.0,2.8,2.4,Newcastle United,Premier_League
Joe Willock,"MF,FW",25-136,16,543.0,0.0,1.0,2.0,0.0,0.7,1.1,Newcastle United,Premier_League
Kieran Trippier,DF,34-106,11,483.0,0.0,0.0,1.0,0.0,0.0,0.2,Newcastle United,Premier_League
Martin Dúbravka,GK,35-354,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle United,Premier_League
Lloyd Kelly,DF,26-089,8,298.0,0.0,1.0,2.0,0.0,0.4,0.5,Newcastle United,Premier_League
Emil Krafth,DF,30-154,3,241.0,0.0,0.0,0.0,0.0,0.0,0.1,Newcastle United,Premier_League
Miguel Almirón,FW,30-328,7,141.0,0.0,0.0,0.0,0.0,0.5,0.2,Newcastle United,Premier_League
Callum Wilson,"FW,MF",32-311,4,61.0,0.0,0.0,1.0,0.0,0.0,0.0,Newcastle United,Premier_League
William Osula,"FW,MF",21-152,6,31.0,0.0,0.0,0.0,0.0,0.0,0.1,Newcastle United,Premier_League
Lewis Miley,MF,18-247,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle United,Premier_League
Matt Targett,DF,29-107,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle United,Premier_League
Alex Murphy,DF,20-192,0,,,,,,,,Newcastle United,Premier_League
John Ruddy,GK,38-071,0,,,,,,,,Newcastle United,Premier_League
Odisseas Vlachodimos,GK,30-252,0,,,,,,,,Newcastle United,Premier_League
