Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Matz Sels,GK,32-312,19,1710.0,0.0,0.0,2.0,0.0,0.0,0.0,Nottingham Forest,Premier_League
Ola Aina,DF,28-087,19,1643.0,2.0,0.0,2.0,0.0,0.6,0.5,Nottingham Forest,Premier_League
Nikola Milenković,DF,27-083,18,1620.0,2.0,1.0,2.0,0.0,2.8,0.2,Nottingham Forest,Premier_League
Murillo,DF,22-183,18,1597.0,1.0,0.0,4.0,0.0,1.0,0.9,Nottingham Forest,Premier_League
Chris Wood,FW,33-027,19,1486.0,11.0,1.0,1.0,0.0,6.9,1.2,Nottingham Forest,Premier_League
Callum Hudson-Odoi,"FW,MF",24-057,17,1316.0,2.0,1.0,1.0,0.0,1.4,1.7,Nottingham Forest,Premier_League
Morgan Gibbs-White,MF,24-342,15,1163.0,3.0,3.0,6.0,1.0,2.0,2.9,Nottingham Forest,Premier_League
Elliot Anderson,"MF,FW",22-058,18,1132.0,0.0,5.0,4.0,0.0,1.0,2.8,Nottingham Forest,Premier_League
Ryan Yates,MF,27-043,18,1308.0,1.0,0.0,5.0,0.0,1.7,0.7,Nottingham Forest,Premier_League
Anthony Elanga,"FW,MF",22-251,19,1047.0,3.0,3.0,1.0,0.0,2.0,1.6,Nottingham Forest,Premier_League
Nicolás Domínguez,"MF,FW",26-189,16,897.0,0.0,0.0,5.0,0.0,1.2,0.2,Nottingham Forest,Premier_League
Álex Moreno,DF,31-209,11,788.0,0.0,1.0,2.0,0.0,0.2,1.0,Nottingham Forest,Premier_League
Neco Williams,DF,23-265,16,909.0,0.0,1.0,4.0,0.0,1.0,0.5,Nottingham Forest,Premier_League
James Ward-Prowse,MF,30-063,8,397.0,0.0,0.0,2.0,1.0,0.1,0.1,Nottingham Forest,Premier_League
Jota Silva,"FW,MF",25-155,18,542.0,0.0,1.0,3.0,0.0,0.5,1.6,Nottingham Forest,Premier_League
Ibrahim Sangaré,MF,27-032,3,212.0,0.0,0.0,2.0,0.0,0.0,0.0,Nottingham Forest,Premier_League
Morato,DF,23-187,12,371.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham Forest,Premier_League
Taiwo Awoniyi,FW,27-144,14,224.0,0.0,0.0,0.0,0.0,0.6,0.1,Nottingham Forest,Premier_League
Ramón Sosa,"FW,MF",25-125,12,222.0,1.0,0.0,0.0,0.0,0.9,0.4,Nottingham Forest,Premier_League
Willy Boly,DF,33-335,4,114.0,0.0,0.0,1.0,0.0,0.1,0.0,Nottingham Forest,Premier_League
Danilo,MF,23-249,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham Forest,Premier_League
Harry Toffolo,DF,29-137,3,47.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham Forest,Premier_League
Eric da Silva Moreira,"MF,DF",18-245,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham Forest,Premier_League
Zach Abbott,DF,18-235,0,,,,,,,,Nottingham Forest,Premier_League
Carlos Miguel,GK,26-086,0,,,,,,,,Nottingham Forest,Premier_League
Andrew Omobamidele,DF,22-194,0,,,,,,,,Nottingham Forest,Premier_League
