Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Destiny Udogie,DF,22-036,18,1430.0,0.0,1.0,2.0,0.0,0.3,1.3,Tottenham Hotspur,Premier_League
Dejan Kulusevski,"MF,FW",24-253,19,1500.0,5.0,4.0,3.0,0.0,3.0,4.6,Tottenham Hotspur,Premier_League
Pedro Porro,DF,25-112,19,1538.0,2.0,3.0,2.0,0.0,1.2,1.8,Tottenham Hotspur,Premier_League
Dominic Solanke,FW,27-111,16,1418.0,6.0,3.0,0.0,0.0,7.8,2.6,Tottenham Hotspur,Premier_League
Brennan Johnson,FW,23-225,19,1357.0,7.0,2.0,3.0,0.0,7.7,1.3,Tottenham Hotspur,Premier_League
Son Heung-min,FW,32-179,16,1209.0,5.0,6.0,0.0,0.0,4.5,5.8,Tottenham Hotspur,Premier_League
James Maddison,MF,28-041,19,1136.0,8.0,4.0,4.0,0.0,4.7,2.7,Tottenham Hotspur,Premier_League
Guglielmo Vicario,GK,28-088,12,1080.0,0.0,0.0,1.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Cristian Romero,DF,26-251,12,974.0,1.0,0.0,1.0,0.0,1.1,0.5,Tottenham Hotspur,Premier_League
Pape Matar Sarr,MF,22-111,19,1001.0,1.0,2.0,3.0,0.0,2.0,1.2,Tottenham Hotspur,Premier_League
Radu Drăgușin,DF,22-335,12,982.0,0.0,0.0,1.0,0.0,0.1,0.0,Tottenham Hotspur,Premier_League
Yves Bissouma,MF,28-126,15,895.0,2.0,0.0,5.0,0.0,0.4,0.2,Tottenham Hotspur,Premier_League
Micky van de Ven,DF,23-259,9,788.0,0.0,2.0,4.0,0.0,0.4,1.2,Tottenham Hotspur,Premier_League
Rodrigo Bentancur,MF,27-192,12,688.0,2.0,0.0,5.0,0.0,0.8,0.1,Tottenham Hotspur,Premier_League
Fraser Forster,GK,36-292,7,630.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Archie Gray,DF,18-297,12,513.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Timo Werner,"FW,MF",28-303,16,446.0,0.0,3.0,0.0,0.0,1.0,2.5,Tottenham Hotspur,Premier_League
Djed Spence,DF,24-147,7,320.0,0.0,1.0,3.0,1.0,0.1,0.9,Tottenham Hotspur,Premier_League
Ben Davies,DF,31-254,4,271.0,0.0,0.0,1.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Wilson Odobert,FW,20-036,3,162.0,0.0,0.0,0.0,0.0,0.4,0.1,Tottenham Hotspur,Premier_League
Lucas Bergvall,MF,18-336,12,231.0,0.0,0.0,2.0,0.0,0.1,0.2,Tottenham Hotspur,Premier_League
Mikey Moore,FW,17-145,4,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Richarlison,FW,27-238,5,90.0,0.0,1.0,1.0,0.0,0.2,0.8,Tottenham Hotspur,Premier_League
Sergio Reguilón,DF,28-018,1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Alfie Dorrington,DF,19-258,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Will Lankshear,FW,19-258,2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,Premier_League
Brandon Austin,GK,25-361,0,,,,,,,,Tottenham Hotspur,Premier_League
Alfie Devine,MF,20-155,0,,,,,,,,Tottenham Hotspur,Premier_League
Malachi Hardy,DF,16-299,0,,,,,,,,Tottenham Hotspur,Premier_League
Maeson King,DF,19-116,0,,,,,,,,Tottenham Hotspur,Premier_League
Callum Olusesi,MF,17-352,0,,,,,,,,Tottenham Hotspur,Premier_League
Luca Williams Barnett,FW,16-094,0,,,,,,,,Tottenham Hotspur,Premier_League
