Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Remo Freuler,MF,32-263,17,1504.0,0.0,2.0,2.0,0.0,0.6,1.0,Bologna,Serie_A
Sam Beukema,DF,26-047,17,1485.0,0.0,1.0,0.0,0.0,0.5,0.7,Bologna,Serie_A
Santiago Castro,FW,20-096,17,1303.0,4.0,4.0,3.0,0.0,3.5,2.1,Bologna,Serie_A
Jhon Lucumí,DF,26-191,14,1114.0,0.0,1.0,4.0,1.0,0.2,0.1,Bologna,Serie_A
Jens Odgaard,"MF,FW",25-278,15,961.0,3.0,0.0,1.0,0.0,1.7,0.8,Bologna,Serie_A
Juan Miranda,DF,24-350,14,1026.0,0.0,3.0,2.0,0.0,0.3,2.6,Bologna,Serie_A
Łukasz Skorupski,GK,33-243,11,990.0,0.0,0.0,1.0,0.0,0.0,0.0,Bologna,Serie_A
Riccardo Orsolini,FW,27-345,14,849.0,6.0,1.0,0.0,0.0,4.7,1.9,Bologna,Serie_A
Dan Ndoye,FW,24-070,13,836.0,3.0,2.0,1.0,0.0,3.5,1.0,Bologna,Serie_A
Nikola Moro,MF,26-297,11,664.0,0.0,1.0,0.0,0.0,0.3,0.3,Bologna,Serie_A
Tommaso Pobega,MF,25-172,8,546.0,2.0,0.0,5.0,2.0,1.5,0.1,Bologna,Serie_A
Lorenzo De Silvestri,DF,36-225,9,514.0,0.0,0.0,1.0,0.0,0.0,0.2,Bologna,Serie_A
Stefan Posch,DF,27-234,12,633.0,0.0,0.0,1.0,0.0,0.0,0.7,Bologna,Serie_A
Federico Ravaglia,GK,25-053,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,Bologna,Serie_A
Emil Holm,DF,24-235,10,490.0,0.0,1.0,2.0,0.0,0.2,0.2,Bologna,Serie_A
Charalambos Lykogiannis,DF,31-073,7,428.0,0.0,1.0,1.0,0.0,0.0,0.3,Bologna,Serie_A
Michel Aebischer,MF,27-363,7,378.0,0.0,0.0,0.0,0.0,0.2,0.3,Bologna,Serie_A
Benjamín Domínguez,FW,21-106,6,358.0,2.0,0.0,0.0,0.0,1.3,0.1,Bologna,Serie_A
Giovanni Fabbian,MF,21-355,14,553.0,1.0,0.0,2.0,0.0,1.0,0.4,Bologna,Serie_A
Jesper Karlsson,FW,26-162,7,298.0,1.0,0.0,1.0,0.0,0.7,0.1,Bologna,Serie_A
Nicolò Casale,DF,26-324,6,260.0,0.0,0.0,0.0,0.0,0.0,0.0,Bologna,Serie_A
Martin Erlic,DF,26-345,4,221.0,0.0,0.0,0.0,0.0,0.1,0.0,Bologna,Serie_A
Thijs Dallinga,"FW,MF",24-153,14,273.0,1.0,0.0,0.0,0.0,1.7,0.1,Bologna,Serie_A
Kacper Urbanski,MF,20-118,7,247.0,1.0,0.0,2.0,0.0,0.3,0.5,Bologna,Serie_A
Lewis Ferguson,MF,25-132,3,99.0,0.0,0.0,0.0,0.0,0.0,0.1,Bologna,Serie_A
Samuel Iling-Junior,"FW,MF",21-091,5,109.0,1.0,0.0,0.0,0.0,0.1,0.1,Bologna,Serie_A
Nicolò Cambiaghi,FW,24-006,1,15.0,0.0,0.0,0.0,0.0,0.1,0.0,Bologna,Serie_A
Nicola Bagnolini,GK,20-295,0,,,,,,,,Bologna,Serie_A
Naïm Byar,MF,19-315,0,,,,,,,,Bologna,Serie_A
Tommaso Corazza,DF,20-188,0,,,,,,,,Bologna,Serie_A
Mihajlo Ilić,DF,21-213,0,,,,,,,,Bologna,Serie_A
Massimo Pessina,GK,17-009,0,,,,,,,,Bologna,Serie_A
