Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Sebastiano Luperto,DF,28-119,18,1620.0,0.0,3.0,2.0,0.0,1.0,1.2,Cagliari,Serie_A
Gabriele Zappa,DF,25-012,18,1575.0,2.0,0.0,3.0,0.0,0.6,1.7,Cagliari,Serie_A
Roberto Piccoli,FW,23-342,18,1488.0,4.0,0.0,1.0,0.0,6.6,0.5,Cagliari,Serie_A
Tommaso Augello,"DF,FW",30-126,18,1320.0,0.0,2.0,2.0,0.0,0.1,2.3,Cagliari,Serie_A
Yerry Mina,DF,30-102,15,1203.0,0.0,0.0,5.0,1.0,1.5,0.3,Cagliari,Serie_A
Nadir Zortea,"DF,FW",25-198,15,1034.0,2.0,0.0,0.0,0.0,1.3,1.0,Cagliari,Serie_A
Simone Scuffet,GK,28-217,12,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,Cagliari,Serie_A
Zito Luvumbo,"FW,MF",22-300,16,994.0,1.0,1.0,2.0,0.0,1.2,1.6,Cagliari,Serie_A
Antoine Makoumbou,MF,26-169,14,920.0,0.0,1.0,2.0,1.0,0.3,0.3,Cagliari,Serie_A
Răzvan Marin,MF,28-225,17,950.0,3.0,0.0,4.0,0.0,2.2,2.1,Cagliari,Serie_A
Michel Ndary Adopo,MF,24-168,15,911.0,0.0,1.0,3.0,1.0,0.5,1.0,Cagliari,Serie_A
Alessandro Deiola,MF,29-155,13,695.0,0.0,0.0,2.0,0.0,0.5,0.2,Cagliari,Serie_A
Gianluca Gaetano,"MF,FW",24-243,14,622.0,0.0,1.0,0.0,0.0,3.4,0.8,Cagliari,Serie_A
Alen Sherri,GK,27-019,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,Cagliari,Serie_A
Nicolas Viola,"MF,FW",35-083,12,499.0,1.0,0.0,1.0,0.0,0.5,0.8,Cagliari,Serie_A
Adam Obert,DF,22-133,10,428.0,0.0,0.0,2.0,0.0,0.8,0.1,Cagliari,Serie_A
Paulo Azzi,DF,30-172,6,426.0,0.0,0.0,2.0,0.0,0.5,0.9,Cagliari,Serie_A
Matteo Prati,MF,21-006,5,235.0,0.0,0.0,1.0,0.0,0.0,0.3,Cagliari,Serie_A
José Luis Palomino,DF,34-364,7,285.0,1.0,0.0,1.0,0.0,0.5,0.0,Cagliari,Serie_A
Gianluca Lapadula,"FW,MF",34-331,10,279.0,0.0,0.0,1.0,0.0,1.3,0.1,Cagliari,Serie_A
Mateusz Wieteska,DF,27-327,4,171.0,0.0,0.0,1.0,0.0,0.2,0.2,Cagliari,Serie_A
Leonardo Pavoletti,"FW,MF",36-038,12,223.0,1.0,0.0,2.0,0.0,1.3,0.9,Cagliari,Serie_A
Mattia Felici,"MF,DF",23-261,8,188.0,0.0,1.0,0.0,0.0,0.3,0.4,Cagliari,Serie_A
Kingstone Mutandwa,"MF,FW",21-364,2,47.0,0.0,0.0,0.0,0.0,0.3,0.0,Cagliari,Serie_A
Giuseppe Ciocci,GK,22-345,0,,,,,,,,Cagliari,Serie_A
Alessandro Di Pardo,"DF,MF",25-169,0,,,,,,,,Cagliari,Serie_A
Pantelis Hatzidiakos,"DF,MF",27-351,0,,,,,,,,Cagliari,Serie_A
Jakub Jankto,MF,28-350,0,,,,,,,,Cagliari,Serie_A
Gastón Pereiro,"FW,MF",29-206,0,,,,,,,,Cagliari,Serie_A
Velizar-Ilia Svetozarov Iliev,GK,19-167,0,,,,,,,,Cagliari,Serie_A
