Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Gabriel Strefezza,"FW,MF",27-260,17,1357.0,2.0,1.0,2.0,0.0,2.5,1.3,Como,Serie_A
Marc-Oliver Kempf,DF,29-341,15,1333.0,0.0,0.0,1.0,0.0,0.5,0.7,Como,Serie_A
Alberto Moreno,DF,32-182,15,1251.0,0.0,0.0,4.0,0.0,0.2,0.9,Como,Serie_A
Alieu Fadera,FW,23-061,16,1163.0,1.0,2.0,0.0,0.0,1.4,2.2,Como,Serie_A
Nicolás Paz,"MF,FW",20-117,17,1331.0,3.0,3.0,3.0,0.0,4.6,3.4,Como,Serie_A
Patrick Cutrone,FW,27-000,18,1244.0,5.0,2.0,0.0,0.0,4.4,1.5,Como,Serie_A
Alberto Dossena,DF,26-082,14,1161.0,0.0,1.0,1.0,1.0,0.5,0.4,Como,Serie_A
Edoardo Goldaniga,DF,31-062,15,1036.0,0.0,0.0,5.0,0.0,0.6,0.0,Como,Serie_A
Lucas Da Cunha,MF,23-208,16,959.0,1.0,0.0,2.0,0.0,0.4,1.2,Como,Serie_A
Pepe Reina,GK,42-125,10,900.0,0.0,0.0,0.0,0.0,0.0,0.0,Como,Serie_A
Ignace Van Der Brempt,DF,22-277,10,824.0,0.0,1.0,3.0,0.0,0.2,0.4,Como,Serie_A
Emil Audero,GK,27-351,8,720.0,0.0,0.0,0.0,0.0,0.0,0.0,Como,Serie_A
Yannik Engelhardt,MF,23-331,11,680.0,1.0,0.0,2.0,0.0,0.5,0.3,Como,Serie_A
Máximo Perrone,MF,21-362,8,660.0,0.0,1.0,1.0,0.0,0.6,0.6,Como,Serie_A
Sergi Roberto,MF,32-331,10,619.0,0.0,1.0,3.0,0.0,0.7,0.7,Como,Serie_A
Andrea Belotti,FW,31-014,15,553.0,2.0,0.0,1.0,0.0,1.9,0.3,Como,Serie_A
Federico Barba,DF,31-124,7,431.0,0.0,0.0,0.0,0.0,0.2,0.0,Como,Serie_A
Luca Mazzitelli,MF,29-049,10,329.0,1.0,1.0,1.0,0.0,0.2,0.6,Como,Serie_A
Alessio Iovine,"DF,FW",33-337,7,309.0,0.0,0.0,2.0,0.0,0.0,0.1,Como,Serie_A
Matthias Braunöder,MF,22-282,8,268.0,0.0,0.0,3.0,1.0,0.1,0.0,Como,Serie_A
Marco Sala,DF,25-213,8,261.0,0.0,0.0,3.0,0.0,0.0,0.1,Como,Serie_A
Daniele Baselli,MF,32-297,2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Como,Serie_A
Simone Verdi,"MF,FW",32-175,8,114.0,0.0,0.0,1.0,0.0,0.1,0.5,Como,Serie_A
Alessandro Gabrielloni,"FW,MF",30-177,10,103.0,1.0,1.0,1.0,0.0,0.3,0.8,Como,Serie_A
Alberto Cerri,FW,28-262,5,87.0,0.0,0.0,0.0,0.0,1.0,0.0,Como,Serie_A
Ben Lhassine Kone,MF,24-295,3,45.0,0.0,0.0,1.0,0.0,0.0,0.0,Como,Serie_A
Fellipe Jack,DF,18-357,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Como,Serie_A
Ali Jasim,"FW,DF",20-349,2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Como,Serie_A
Oliver Abildgaard,MF,28-207,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Como,Serie_A
Francesco Andrealli,MF,17-151,0,,,,,,,,Como,Serie_A
Tommaso Cassandro,DF,24-360,0,,,,,,,,Como,Serie_A
Alessio Chiesa,DF,18-199,0,,,,,,,,Como,Serie_A
Federico Chinetti,FW,20-002,0,,,,,,,,Como,Serie_A
William Feola,DF,18-365,0,,,,,,,,Como,Serie_A
Giuseppe Mazzaglia,MF,18-258,0,,,,,,,,Como,Serie_A
Mauro Vigorito,GK,34-226,0,,,,,,,,Como,Serie_A
