Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Ardian Ismajli,DF,28-096,18,1620.0,0.0,0.0,1.0,0.0,0.0,0.0,Empoli,Serie_A
Devis Vásquez,GK,26-237,18,1620.0,0.0,0.0,2.0,0.0,0.0,0.0,Empoli,Serie_A
Emmanuel Gyasi,"DF,FW",30-359,18,1605.0,2.0,0.0,3.0,0.0,2.2,0.2,Empoli,Serie_A
Mattia Viti,DF,22-346,16,1440.0,0.0,0.0,0.0,0.0,0.5,0.1,Empoli,Serie_A
Giuseppe Pezzella,"DF,FW",27-036,17,1289.0,0.0,1.0,4.0,0.0,0.3,0.7,Empoli,Serie_A
Lorenzo Colombo,"FW,MF",22-302,18,1214.0,4.0,1.0,2.0,0.0,3.7,1.4,Empoli,Serie_A
Saba Goglichidze,DF,20-193,15,1196.0,0.0,0.0,0.0,1.0,0.0,0.0,Empoli,Serie_A
Liam Henderson,MF,28-254,17,1126.0,0.0,1.0,5.0,0.0,0.1,1.6,Empoli,Serie_A
Faustino Anjorin,MF,23-042,14,835.0,0.0,3.0,2.0,0.0,0.6,1.2,Empoli,Serie_A
Sebastiano Esposito,"FW,MF",22-186,14,917.0,6.0,0.0,0.0,0.0,3.5,0.5,Empoli,Serie_A
Youssef Maleh,MF,26-135,14,894.0,0.0,1.0,2.0,0.0,0.4,0.7,Empoli,Serie_A
Alberto Grassi,MF,29-303,10,694.0,0.0,0.0,4.0,0.0,0.2,0.2,Empoli,Serie_A
Liberato Cacace,"DF,MF",24-099,14,747.0,1.0,2.0,4.0,0.0,0.7,0.6,Empoli,Serie_A
Jacopo Fazzini,MF,21-294,9,598.0,0.0,0.0,1.0,0.0,0.6,0.1,Empoli,Serie_A
Ola Solbakken,"MF,FW",26-119,14,591.0,0.0,0.0,1.0,0.0,0.8,0.4,Empoli,Serie_A
Pietro Pellegri,FW,23-293,11,414.0,3.0,0.0,2.0,0.0,0.3,0.6,Empoli,Serie_A
Nicolas Haas,MF,28-347,10,287.0,0.0,0.0,1.0,0.0,0.0,0.1,Empoli,Serie_A
Sebastian Walukiewicz,DF,24-274,2,180.0,0.0,0.0,0.0,0.0,0.0,0.1,Empoli,Serie_A
Mattia De Sciglio,DF,32-076,6,194.0,0.0,0.0,0.0,0.0,0.0,0.0,Empoli,Serie_A
Emmanuel Ekong,"MF,FW",22-193,14,183.0,0.0,0.0,1.0,0.0,0.1,0.1,Empoli,Serie_A
Luca Marianucci,"DF,MF",20-165,5,58.0,0.0,0.0,0.0,0.0,0.0,0.0,Empoli,Serie_A
Junior Sambia,"FW,DF",28-119,4,43.0,0.0,0.0,0.0,0.0,0.0,0.0,Empoli,Serie_A
Francesco Caputo,FW,37-151,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Empoli,Serie_A
Ismael Konate,"FW,DF",18-281,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Empoli,Serie_A
Petar Stojanović,MF,29-089,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Empoli,Serie_A
Jacopo Bacci,MF,19-199,0,,,,,,,,Empoli,Serie_A
Luca Belardinelli,MF,23-296,0,,,,,,,,Empoli,Serie_A
Dawid Bembnista,DF,17-358,0,,,,,,,,Empoli,Serie_A
Noah El Biache,MF,19-326,0,,,,,,,,Empoli,Serie_A
Federico Brancolini,GK,23-174,0,,,,,,,,Empoli,Serie_A
Thomas Campaniello,FW,16-310,0,,,,,,,,Empoli,Serie_A
Niccolò Chiorra,GK,23-294,0,,,,,,,,Empoli,Serie_A
Gabriele Guarino,DF,20-265,0,,,,,,,,Empoli,Serie_A
Samuele Perisan,GK,27-136,0,,,,,,,,Empoli,Serie_A
Bohdan Popov,MF,21-341,0,,,,,,,,Empoli,Serie_A
Saba Sazonov,DF,22-338,0,,,,,,,,Empoli,Serie_A
Jacopo Seghetti,GK,19-322,0,,,,,,,,Empoli,Serie_A
Steven Shpendi,FW,21-230,0,,,,,,,,Empoli,Serie_A
Lorenzo Tosto,DF,18-341,0,,,,,,,,Empoli,Serie_A
