Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Dušan Vlahović,FW,24-342,16,1320.0,7.0,1.0,3.0,0.0,9.8,0.6,Juventus,Serie_A
Manuel Locatelli,MF,26-362,17,1291.0,0.0,2.0,5.0,0.0,0.2,0.9,Juventus,Serie_A
Federico Gatti,DF,26-194,16,1299.0,1.0,0.0,2.0,0.0,1.9,0.1,Juventus,Serie_A
Pierre Kalulu,DF,24-213,15,1257.0,0.0,0.0,2.0,0.0,0.1,0.1,Juventus,Serie_A
Andrea Cambiaso,"DF,FW",24-319,17,1240.0,2.0,0.0,3.0,0.0,0.4,1.7,Juventus,Serie_A
Kenan Yıldız,"FW,MF",19-245,18,1231.0,3.0,2.0,0.0,0.0,1.6,2.8,Juventus,Serie_A
Michele Di Gregorio,GK,27-161,13,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventus,Serie_A
Teun Koopmeiners,MF,26-311,14,1030.0,1.0,3.0,2.0,0.0,2.3,2.1,Juventus,Serie_A
Nicolò Savona,DF,21-291,16,1026.0,2.0,0.0,2.0,0.0,0.4,1.0,Juventus,Serie_A
Khéphren Thuram,MF,23-284,16,903.0,2.0,2.0,2.0,0.0,2.4,1.9,Juventus,Serie_A
Francisco Conceição,FW,22-021,13,832.0,1.0,3.0,4.0,1.0,0.8,3.6,Juventus,Serie_A
Weston McKennie,"MF,DF",26-129,12,690.0,2.0,2.0,2.0,0.0,1.1,0.7,Juventus,Serie_A
Timothy Weah,FW,24-317,12,690.0,4.0,1.0,1.0,0.0,2.6,0.8,Juventus,Serie_A
Danilo,DF,33-173,12,581.0,0.0,1.0,2.0,0.0,0.1,0.4,Juventus,Serie_A
Gleison Bremer,DF,27-292,6,540.0,0.0,0.0,2.0,0.0,0.1,0.0,Juventus,Serie_A
Juan David Cabal,DF,23-362,7,460.0,0.0,0.0,0.0,0.0,0.1,0.0,Juventus,Serie_A
Nicolò Fagioli,MF,23-327,15,559.0,0.0,0.0,4.0,0.0,0.6,0.1,Juventus,Serie_A
Mattia Perin,GK,32-055,5,450.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventus,Serie_A
Samuel Mbangula,FW,20-354,12,418.0,2.0,2.0,0.0,0.0,0.4,0.6,Juventus,Serie_A
Nicolás González,"FW,MF",26-273,7,302.0,1.0,0.0,0.0,0.0,0.8,0.1,Juventus,Serie_A
Douglas Luiz,MF,26-240,9,299.0,0.0,0.0,1.0,0.0,0.5,0.5,Juventus,Serie_A
Jonas Rouhi,DF,20-363,4,192.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventus,Serie_A
Vasilije Adžić,"MF,FW",18-237,2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventus,Serie_A
Diego Pugno,FW,18-181,1,7.0,0.0,0.0,0.0,0.0,0.0,0.1,Juventus,Serie_A
Lorenzo Anghelè,FW,19-313,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventus,Serie_A
Javier Gil,DF,18-246,0,,,,,,,,Juventus,Serie_A
Alfonso Montero,DF,17-316,0,,,,,,,,Juventus,Serie_A
Augusto Owusu,DF,19-342,0,,,,,,,,Juventus,Serie_A
Filippo Pagnucco,DF,18-330,0,,,,,,,,Juventus,Serie_A
Christos Papadopoulos,MF,20-064,0,,,,,,,,Juventus,Serie_A
Carlo Pinsoglio,GK,34-294,0,,,,,,,,Juventus,Serie_A
Niccolò Rizzo,DF,17-169,0,,,,,,,,Juventus,Serie_A
