Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Ivan Provedel,GK,30-293,17,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,Lazio,Serie_A
Mattéo Guendouzi,MF,25-265,17,1483.0,1.0,1.0,3.0,0.0,0.5,2.0,Lazio,Serie_A
Valentín Castellanos,FW,26-093,15,1231.0,7.0,1.0,5.0,0.0,9.8,1.2,Lazio,Serie_A
Mario Gila,DF,24-128,14,1191.0,1.0,0.0,4.0,0.0,0.6,0.3,Lazio,Serie_A
Mattia Zaccagni,"FW,MF",29-202,15,1175.0,5.0,2.0,3.0,0.0,3.6,1.3,Lazio,Serie_A
Nicolò Rovella,MF,23-031,14,1156.0,0.0,0.0,6.0,0.0,0.3,0.8,Lazio,Serie_A
Alessio Romagnoli,DF,29-358,13,1028.0,0.0,0.0,1.0,1.0,0.7,0.1,Lazio,Serie_A
Nuno Tavares,DF,24-344,12,974.0,0.0,8.0,3.0,1.0,0.7,2.8,Lazio,Serie_A
Gustav Isaksen,FW,23-260,17,948.0,2.0,2.0,4.0,0.0,1.9,0.8,Lazio,Serie_A
Manuel Lazzari,DF,31-036,14,880.0,0.0,1.0,1.0,0.0,0.1,0.9,Lazio,Serie_A
Boulaye Dia,"MF,FW",28-049,14,855.0,4.0,2.0,1.0,0.0,3.0,2.2,Lazio,Serie_A
Adam Marušić,DF,32-079,16,859.0,1.0,0.0,1.0,0.0,0.1,0.1,Lazio,Serie_A
Tijjani Noslin,"FW,MF",25-181,15,538.0,2.0,1.0,2.0,0.0,1.2,0.7,Lazio,Serie_A
Patric,DF,31-262,8,585.0,1.0,0.0,2.0,0.0,1.1,0.0,Lazio,Serie_A
Matías Vecino,MF,33-133,10,486.0,1.0,1.0,2.0,0.0,1.2,1.5,Lazio,Serie_A
Pedro,"FW,MF",37-160,13,469.0,3.0,0.0,1.0,0.0,1.3,0.8,Lazio,Serie_A
Fisayo Dele-Bashiru,MF,23-333,8,345.0,2.0,0.0,0.0,0.0,0.5,0.2,Lazio,Serie_A
Luca Pellegrini,DF,25-303,9,373.0,0.0,1.0,1.0,0.0,0.1,0.6,Lazio,Serie_A
Nicolò Casale,DF,26-325,2,135.0,0.0,0.0,0.0,0.0,0.0,0.0,Lazio,Serie_A
Loum Tchaouna,"FW,MF",21-118,12,269.0,1.0,0.0,2.0,0.0,2.1,0.4,Lazio,Serie_A
Gaetano Castrovilli,"MF,FW",27-322,7,134.0,0.0,0.0,0.0,0.0,0.1,0.7,Lazio,Serie_A
Samuel Gigot,DF,31-084,6,83.0,1.0,0.0,1.0,0.0,0.9,0.0,Lazio,Serie_A
Elseid Hysaj,DF,30-319,2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Lazio,Serie_A
Filipe Bordon,DF,19-194,0,,,,,,,,Lazio,Serie_A
Danilo Cataldi,MF,30-151,0,,,,,,,,Lazio,Serie_A
Alessio Furlanetto,GK,22-332,0,,,,,,,,Lazio,Serie_A
Christos Mandas,GK,23-109,0,,,,,,,,Lazio,Serie_A
