Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Mike Maignan,GK,29-184,17,1530.0,0.0,0.0,1.0,0.0,0.0,0.7,Milan,Serie_A
Youssouf Fofana,MF,25-359,16,1318.0,1.0,4.0,4.0,0.0,0.6,2.0,Milan,Serie_A
Tijjani Reijnders,MF,26-158,16,1271.0,5.0,2.0,2.0,1.0,2.3,1.7,Milan,Serie_A
Emerson,DF,25-355,15,1214.0,0.0,0.0,4.0,0.0,0.3,0.7,Milan,Serie_A
Rafael Leão,FW,25-207,15,1034.0,3.0,4.0,1.0,0.0,4.5,2.7,Milan,Serie_A
Christian Pulisic,"MF,FW",26-107,14,981.0,5.0,4.0,0.0,0.0,4.5,2.8,Milan,Serie_A
Theo Hernández,DF,27-089,14,1084.0,2.0,2.0,2.0,1.0,1.4,1.5,Milan,Serie_A
Malick Thiaw,DF,23-148,11,990.0,0.0,0.0,0.0,0.0,0.1,0.1,Milan,Serie_A
Álvaro Morata,"FW,MF",32-072,13,908.0,4.0,0.0,4.0,0.0,3.1,0.4,Milan,Serie_A
Matteo Gabbia,DF,25-074,10,877.0,1.0,0.0,3.0,0.0,0.7,0.1,Milan,Serie_A
Samuel Chukwueze,FW,25-226,17,736.0,1.0,0.0,0.0,0.0,1.7,2.2,Milan,Serie_A
Strahinja Pavlović,DF,23-224,10,654.0,1.0,0.0,1.0,0.0,0.9,0.2,Milan,Serie_A
Ruben Loftus-Cheek,MF,28-346,13,682.0,0.0,0.0,1.0,0.0,0.5,1.4,Milan,Serie_A
Tammy Abraham,FW,27-093,12,564.0,2.0,1.0,0.0,0.0,5.3,0.9,Milan,Serie_A
Fikayo Tomori,DF,27-015,9,556.0,0.0,0.0,1.0,0.0,0.1,0.0,Milan,Serie_A
Filippo Terracciano,"DF,MF",21-330,6,493.0,0.0,0.0,2.0,0.0,0.2,0.1,Milan,Serie_A
Yunus Musah,"MF,FW",22-035,12,542.0,0.0,1.0,1.0,0.0,0.4,0.8,Milan,Serie_A
Noah Okafor,FW,24-224,11,414.0,1.0,0.0,0.0,0.0,1.5,0.3,Milan,Serie_A
Alejandro Jiménez,"DF,FW",19-240,3,270.0,0.0,0.0,0.0,0.0,0.1,0.7,Milan,Serie_A
Davide Calabria,"DF,FW",28-028,5,178.0,0.0,0.0,0.0,0.0,0.1,0.2,Milan,Serie_A
Francesco Camarda,"FW,MF",16-299,5,110.0,0.0,0.0,0.0,0.0,0.2,0.3,Milan,Serie_A
Ismaël Bennacer,MF,27-033,2,103.0,0.0,0.0,0.0,0.0,0.1,0.1,Milan,Serie_A
Alexis Saelemaekers,"DF,FW",25-190,1,90.0,0.0,0.0,0.0,0.0,0.0,0.1,Milan,Serie_A
Luka Jović,FW,27-011,3,79.0,0.0,0.0,1.0,0.0,0.1,0.1,Milan,Serie_A
Mattia Liberali,MF,17-272,1,61.0,0.0,0.0,0.0,0.0,0.1,0.0,Milan,Serie_A
Kevin Zeroli,MF,19-358,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Milan,Serie_A
Davide Bartesaghi,DF,19-005,1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,Milan,Serie_A
Hugo Cuenca,MF,19-361,0,,,,,,,,Milan,Serie_A
Noah Raveyre,GK,19-195,0,,,,,,,,Milan,Serie_A
Marco Sportiello,GK,32-238,0,,,,,,,,Milan,Serie_A
Lorenzo Torriani,GK,19-338,0,,,,,,,,Milan,Serie_A
Silvano Vos,MF,19-293,0,,,,,,,,Milan,Serie_A
