Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Pablo Marí,DF,31-126,18,1583.0,0.0,0.0,4.0,1.0,0.2,0.1,Monza,Serie_A
Giorgos Kyriakopoulos,DF,28-334,17,1530.0,2.0,3.0,2.0,0.0,0.4,2.1,Monza,Serie_A
Warren Bondo,MF,21-111,17,1416.0,0.0,0.0,3.0,1.0,0.3,0.3,Monza,Serie_A
Stefano Turati,GK,23-121,15,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,Monza,Serie_A
Armando Izzo,DF,32-308,16,1299.0,0.0,1.0,7.0,0.0,0.3,0.3,Monza,Serie_A
Andrea Carboni,DF,23-335,15,1231.0,0.0,1.0,4.0,0.0,0.1,0.3,Monza,Serie_A
Pedro Pereira,DF,26-348,17,1106.0,1.0,2.0,4.0,0.0,0.7,1.1,Monza,Serie_A
Daniel Maldini,MF,23-085,16,1044.0,1.0,0.0,5.0,0.0,4.1,0.7,Monza,Serie_A
Milan Đurić,FW,34-227,15,1132.0,4.0,1.0,3.0,0.0,2.7,1.1,Monza,Serie_A
Alessandro Bianco,MF,22-095,15,1089.0,1.0,0.0,3.0,0.0,1.0,0.4,Monza,Serie_A
Dany Mota,"MF,FW",26-247,15,959.0,4.0,0.0,2.0,0.0,2.8,0.4,Monza,Serie_A
Matteo Pessina,MF,27-258,11,854.0,0.0,0.0,2.0,0.0,0.2,0.1,Monza,Serie_A
Gianluca Caprari,"MF,FW",31-158,18,785.0,1.0,1.0,2.0,0.0,1.5,1.0,Monza,Serie_A
Samuele Birindelli,"DF,MF",25-169,8,465.0,1.0,0.0,1.0,0.0,0.4,1.0,Monza,Serie_A
Luca Caldirola,DF,33-338,6,400.0,0.0,0.0,2.0,0.0,0.2,0.0,Monza,Serie_A
Danilo D'Ambrosio,DF,36-117,11,386.0,0.0,0.0,2.0,0.0,0.3,0.2,Monza,Serie_A
Semuel Pizzignacco,GK,23-125,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,Monza,Serie_A
Samuele Vignato,MF,20-315,7,228.0,0.0,0.0,0.0,0.0,0.2,0.0,Monza,Serie_A
Andrea Petagna,FW,29-188,4,181.0,0.0,0.0,1.0,0.0,0.2,0.0,Monza,Serie_A
Patrick Ciurria,"MF,DF",29-330,2,103.0,0.0,0.0,0.0,0.0,0.0,1.2,Monza,Serie_A
Mirko Marić,"FW,MF",29-233,7,97.0,0.0,0.0,0.0,0.0,0.2,0.0,Monza,Serie_A
Roberto Gagliardini,"MF,DF",30-272,4,95.0,0.0,0.0,1.0,0.0,0.0,0.2,Monza,Serie_A
Omari Forson,"MF,FW",20-168,4,61.0,0.0,0.0,0.0,0.0,0.0,0.0,Monza,Serie_A
Stefano Sensi,MF,29-152,4,58.0,0.0,0.0,0.0,0.0,0.0,0.0,Monza,Serie_A
Mattia Valoti,MF,31-120,4,39.0,0.0,0.0,1.0,0.0,0.0,0.0,Monza,Serie_A
Kevin Martins,DF,19-339,2,11.0,0.0,1.0,0.0,0.0,0.0,0.4,Monza,Serie_A
Alessandro Berretta,MF,19-003,0,,,,,,,,Monza,Serie_A
Davide Bettella,DF,24-272,0,,,,,,,,Monza,Serie_A
Davide Bifulco,GK,19-000,0,,,,,,,,Monza,Serie_A
Leonardo Colombo,MF,19-214,0,,,,,,,,Monza,Serie_A
Marco D'Alessandro,"DF,FW",33-322,0,,,,,,,,Monza,Serie_A
Andrea Mazza,GK,20-291,0,,,,,,,,Monza,Serie_A
Nicolò Postiglione,DF,19-263,0,,,,,,,,Monza,Serie_A
Endris Scaramelli,MF,18-107,0,,,,,,,,Monza,Serie_A
Alessandro Sorrentino,GK,22-276,0,,,,,,,,Monza,Serie_A
Andrea Vailati,GK,17-153,0,,,,,,,,Monza,Serie_A
