Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Giovanni Di Lorenzo,DF,31-153,18,1620.0,3.0,1.0,2.0,0.0,2.3,3.4,Napoli,Serie_A
Amir Rrahmani,DF,30-315,18,1620.0,1.0,2.0,2.0,0.0,1.6,0.5,Napoli,Serie_A
Andre-Frank Zambo Anguissa,MF,29-049,18,1589.0,3.0,1.0,3.0,0.0,1.4,1.4,Napoli,Serie_A
Matteo Politano,"FW,MF",31-154,18,1314.0,1.0,0.0,1.0,0.0,1.4,2.5,Napoli,Serie_A
Mathías Olivera,DF,27-065,18,1381.0,0.0,1.0,2.0,0.0,0.6,1.3,Napoli,Serie_A
Alessandro Buongiorno,DF,25-212,15,1350.0,1.0,0.0,1.0,0.0,0.8,0.6,Napoli,Serie_A
Alex Meret,GK,27-288,15,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,Napoli,Serie_A
Romelu Lukaku,FW,31-236,16,1209.0,6.0,4.0,1.0,0.0,6.7,1.7,Napoli,Serie_A
Khvicha Kvaratskhelia,"FW,MF",23-327,17,1178.0,5.0,3.0,1.0,0.0,4.3,3.7,Napoli,Serie_A
Scott McTominay,MF,28-027,15,1268.0,3.0,2.0,1.0,0.0,2.6,1.4,Napoli,Serie_A
Stanislav Lobotka,MF,30-040,14,1167.0,0.0,1.0,2.0,0.0,0.2,0.8,Napoli,Serie_A
Billy Gilmour,MF,23-207,11,404.0,0.0,0.0,0.0,0.0,0.1,0.3,Napoli,Serie_A
David Neres,"FW,MF",27-307,16,485.0,1.0,4.0,0.0,0.0,1.6,1.5,Napoli,Serie_A
Pasquale Mazzocchi,"DF,FW",29-161,9,391.0,0.0,0.0,2.0,0.0,0.1,0.4,Napoli,Serie_A
Elia Caprile,GK,23-132,4,325.0,0.0,0.0,0.0,0.0,0.0,0.0,Napoli,Serie_A
Leonardo Spinazzola,DF,31-285,11,272.0,0.0,1.0,0.0,0.0,0.1,0.8,Napoli,Serie_A
Juan Jesus,DF,33-208,3,258.0,0.0,0.0,1.0,0.0,0.1,0.0,Napoli,Serie_A
Giacomo Raspadori,"FW,MF",24-321,9,278.0,1.0,0.0,1.0,0.0,1.0,0.3,Napoli,Serie_A
Giovanni Simeone,FW,29-183,15,258.0,1.0,1.0,0.0,0.0,1.6,0.5,Napoli,Serie_A
Cyril Ngonge,"FW,DF",24-223,5,110.0,0.0,0.0,1.0,0.0,0.5,0.4,Napoli,Serie_A
Michael Folorunsho,"FW,MF",26-332,6,35.0,0.0,0.0,0.0,0.0,0.1,0.0,Napoli,Serie_A
Walid Cheddira,FW,26-348,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Napoli,Serie_A
Alessio Zerbin,DF,25-307,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Napoli,Serie_A
Nikita Contini Baranovsky,GK,28-228,0,,,,,,,,Napoli,Serie_A
Gianluca Gaetano,"FW,MF",24-244,0,,,,,,,,Napoli,Serie_A
Francesco Gioielli,MF,20-313,0,,,,,,,,Napoli,Serie_A
Gennaro Iaccarino,MF,21-187,0,,,,,,,,Napoli,Serie_A
Rafa Marín,DF,22-230,0,,,,,,,,Napoli,Serie_A
Francesco Mezzoni,FW,24-222,0,,,,,,,,Napoli,Serie_A
Coli Saco,MF,22-234,0,,,,,,,,Napoli,Serie_A
Claudio Turi,GK,19-243,0,,,,,,,,Napoli,Serie_A
