Player,Pos,Age,MP,Min,Gls,Ast,CrdY,CrdR,xG,xAG,Club,League
Gaetano Oristanio,"MF,FW",22-097,18,1337.0,2.0,3.0,2.0,0.0,2.8,2.3,Venezia,Serie_A
Jay Idzes,DF,24-215,16,1417.0,1.0,0.0,3.0,0.0,0.8,0.3,Venezia,Serie_A
Michael Svoboda,DF,26-080,16,1314.0,1.0,0.0,1.0,0.0,0.2,0.6,Venezia,Serie_A
Joel Pohjanpalo,FW,30-112,16,1250.0,4.0,0.0,0.0,0.0,5.6,1.6,Venezia,Serie_A
Francesco Zampano,DF,31-095,17,1343.0,1.0,2.0,4.0,0.0,0.9,0.5,Venezia,Serie_A
Hans Nicolussi Caviglia,MF,24-199,16,1162.0,3.0,2.0,4.0,1.0,1.1,0.8,Venezia,Serie_A
Gianluca Busio,MF,22-220,15,1219.0,1.0,0.0,3.0,0.0,1.3,0.8,Venezia,Serie_A
Mikael Ellertsson,"DF,MF",22-298,17,1111.0,2.0,1.0,0.0,0.0,0.9,0.6,Venezia,Serie_A
Filip Stankovic,GK,22-313,11,990.0,0.0,0.0,1.0,0.0,0.0,0.0,Venezia,Serie_A
Antonio Candela,DF,24-251,13,948.0,0.0,1.0,1.0,0.0,0.3,0.8,Venezia,Serie_A
Alfred Duncan,MF,31-299,11,795.0,0.0,0.0,1.0,0.0,0.7,0.8,Venezia,Serie_A
Marin Šverko,DF,26-334,13,861.0,1.0,0.0,2.0,0.0,0.3,0.3,Venezia,Serie_A
Ridgeciano Haps,DF,31-205,11,682.0,0.0,0.0,2.0,0.0,1.1,0.3,Venezia,Serie_A
Magnus Kofod Andersen,MF,25-238,13,669.0,1.0,1.0,1.0,0.0,0.3,0.5,Venezia,Serie_A
Giorgio Altare,DF,26-147,11,663.0,0.0,0.0,2.0,0.0,0.2,0.1,Venezia,Serie_A
Jesse Joronen,GK,31-288,7,630.0,0.0,0.0,0.0,0.0,0.0,0.0,Venezia,Serie_A
John Yeboah,"MF,FW",24-194,14,324.0,0.0,1.0,3.0,0.0,0.4,0.4,Venezia,Serie_A
Christian Gytkjær,"FW,MF",34-242,13,250.0,0.0,0.0,0.0,0.0,0.3,0.0,Venezia,Serie_A
Issa Doumbia,MF,21-079,7,209.0,0.0,0.0,0.0,0.0,0.2,0.0,Venezia,Serie_A
Richie Sagrado,DF,20-339,2,115.0,0.0,0.0,1.0,0.0,0.1,0.0,Venezia,Serie_A
Domen Črnigoj,MF,29-046,8,136.0,0.0,0.0,0.0,0.0,0.1,0.0,Venezia,Serie_A
Joël Schingtienne,DF,22-144,2,91.0,0.0,0.0,1.0,0.0,0.0,0.0,Venezia,Serie_A
Franco Carboni,DF,21-274,3,68.0,0.0,0.0,0.0,0.0,0.0,0.1,Venezia,Serie_A
Antonio Raimondo,"FW,DF",20-291,9,94.0,0.0,0.0,0.0,0.0,0.3,0.1,Venezia,Serie_A
Nicholas Pierini,MF,26-150,2,83.0,0.0,0.0,0.0,0.0,0.0,0.1,Venezia,Serie_A
Saad El Haddad,MF,19-163,3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Venezia,Serie_A
Bjarki Bjarkason,DF,24-237,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Venezia,Serie_A
Nunzio Lella,MF,24-159,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Venezia,Serie_A
Bruno,GK,26-217,0,,,,,,,,Venezia,Serie_A
Alberto Chiesurin,MF,19-346,0,,,,,,,,Venezia,Serie_A
Matteo Grandi,GK,32-083,0,,,,,,,,Venezia,Serie_A
Lorenzo Lucchesi,DF,21-239,0,,,,,,,,Venezia,Serie_A
